Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,RC0201FR-0724K9L,,Yageo,250,,,,,,,,,,,,
,ESR10EZPF1002,,Rohm,129,,,,,,,,,,,,
,SMF15A,,Littelfuse Inc,53,,,,,,,,,,,,
,CPF0402B6K98E1,,TE CONNECT,35,,,,,,,,,,,,
,CRCW02012K00JNED,,VISHAY,231,,,,,,,,,,,,
,KTR10EZPF2003,,Rohm,90,,,,,,,,,,,,
,RC0402FR-073K65L,,Yageo,180,,,,,,,,,,,,
,GRM155R61E105KA12D,,TDK Corp,122,,,,,,,,,,,,
,CC0402KRX7R7BB222,,Yageo,117,,,,,,,,,,,,
,ERJ-2RKF4873X,,Panasonic,110,,,,,,,,,,,,
,MM5Z3V3T1G,,On Semiconductor,60,,,,,,,,,,,,
,GRM0335C1E220JA01D,,Murata,245,,,,,,,,,,,,
,"74HCT1G04GW,125",,Nexperia,42,,,,,,,,,,,,
,RC0201FR-071K8L,,Yageo,10000,,,,,,,,,,,,
,CR0603-J/-000ELF,,Bourns Inc,149,,,,,,,,,,,,
,RK73B3ATTE3R3J,,Koa Speer,233,,,,,,,,,,,,
,RC0402FR-07412KL,,Yageo,141,,,,,,,,,,,,
,RC0402FR-0716K5L,,Yageo,196,,,,,,,,,,,,
,RC0402FR-07255KL,,Yageo,92,,,,,,,,,,,,
,RC0402FR-0727R4L,,Yageo,110,,,,,,,,,,,,
,RC0402FR-074R7L,,Yageo,65,,,,,,,,,,,,
,RC0402FR-073K9L,,Yageo,86,,,,,,,,,,,,
,RC0402FR-07499RL,,Yageo,132,,,,,,,,,,,,
,C0402C472K5RAC,,Kemet Electronics Corp,35,,,,,,,,,,,,
,RK73H1HTTC5621F,,KOASPEER,64,,,,,,,,,,,,
,RC0402FR-07200KL,,Yageo,86,,,,,,,,,,,,
,RC0402FR-0714K7L,,Yageo,34,,,,,,,,,,,,
,RC0402FR-0782K5L,,Yageo,44,,,,,,,,,,,,
,RC0402FR-0733R2L,,Yageo,28,,,,,,,,,,,,
,RC0402FR-0712KL,,Yageo,10,,,,,,,,,,,,
,RC0402FR-076K04L,,Yageo,10,,,,,,,,,,,,
,HK10051N0S-T,,TAIYO YUDE,4019,,,,,,,,,,,,
,HK10052N7S-T,,TAIYO YUDE,8865,,,,,,,,,,,,
,HK10053N9S-T,,TAIYO YUDE,3786,,,,,,,,,,,,
,DEA252450BT-2027A1,,TDK Corp,4932,,,,,,,,,,,,
,ELLA-W131-00B,,U-BLOX,6,,,,,,,,,,,,
