rfq_number,created_date,customer,rfq_type,office,description,line_count,total_qty,total_target_value
1128440,2026-01-12,BAE SYSTEMS,EOL/LTB,Austin Office,***QUOTED 01/14/25***   SKY12343-364LF   qty 1500,1,1503,0
1128429,2026-01-12,RTX,EOL/LTB,Austin Office,"***QUOTED 01/16/2026***
Request for Quotation 6000912640
Enterprise Procurement Services RIS-SAS-El Segundo/EWGoleta CA
Quotation deadline: 01/19/2026
Delivery deadline: 04/03/2026  SANTA FE SPRINGS C",1,371,0
1128366,2026-01-09,RTX,EOL/LTB,Austin Office,"NS/NB 01/09/2026***   In support of Enterprise Procurement Services RIS-SAS-El Segundo/EWGoleta CA
RFQ No. 6000912577
Quotation deadline: 01/16/2026
Delivery Date: 03/24/2026
ACF451832-222-TD01-NFD   ",1,1822,0
1128343,2026-01-09,RTX,EOL/LTB,Austin Office,"***QUOTED 01/16/2026***
In support of SM-3 Tucson, AZ.  RFQ 1-20260108-0001-ASTUTE - DUE 1/16/2026.
GP required.",6,1498,0
1128338,2026-01-09,RTX,EOL/LTB,Austin Office,"***CUSTOMER PO NO 4203242267***
***2/4/2026 AMER***
QUOTED 01/09/2026 - In support of Naval Power SBU Shipboard Missiles – SM-3 & Ultra Programs.  SM-3 BLK IIA FY23-25 Production.
RFQ 18034245 Transis",1,39,0
1128337,2026-01-09,RTX,EOL/LTB,Austin Office,"NB PARTS AVAILABLE THROUGH AUTHORIZED 01/09/26 - In support of Naval Power SBU Shipboard Missiles – SM-3 & Ultra Programs.  SM-3 BLK IIA FY23-25 Production.
RFQ 18034246 Transistors due COB January 13",1,17,0
1128288,2026-01-08,RTX,EOL/LTB,Austin Office,"In support of El Segundo CA   Part Number: NX-i385  Qty: 1
",1,1,0
1128281,2026-01-08,RTX,EOL/LTB,Austin Office,"QUOTED 01/08/26 - In support of Largo FL [RTXSecure] Request for Quotation 6000912221.
Quotation deadline: 01/15/2026.
Delivery Date: 02/14/2026.
***Quoted 01/08/2026 $1250 GP Opp*** 
CPC: H327928-1-N",1,15,0
1128243,2026-01-07,RTX,EOL/LTB,Austin Office,"***CUSTOMER PO NO 4203242265***
QUOTED 01/08/26 - In support of Naval Power SBU Shipboard Missiles – SM-3 & Ultra Programs. SM-3 BLK IIA FY23-25 Production.
RFQ 18036193 Microcircuit due COB January 1",1,13,0
1128241,2026-01-07,RTX,EOL/LTB,Austin Office,"***AMER and Micross 02/02/26***

NS/NB 01/07/2026 - In support of Naval Power SBU Shipboard Missiles – SM-3 & Ultra Programs. SM-3 BLK IIA FY23-25 Production.
Previous RFQ 1126468.",1,103,0
1128217,2026-01-07,RTX,EOL/LTB,Austin Office,***QUOTED 01/09/2026***   [RTXSecure] NFD PN's availability   In support of Collins Aerospace Largo FL.   ,9,516,0
1128120,2026-01-05,RTX,EOL/LTB,Austin Office,"QUOTED 01/05/26 - In support of RTX Collins Largo FL   MVI56DFCM   Qty 4  Pro soft.
***QUOTED 01/05/2025 $8K GP Opp***

",1,4,0
1128107,2026-01-05,BAE SYSTEMS,EOL/LTB,Austin Office,"QUOTED 01/05/26 - In support of Endicott NY   XC95144XL-10TQ100I   Qty 620
***QUOTED 01/05/2025 $12,500K GP , 27Pts Opp***
RTX Collins in Largo uses this part.",1,625,0
1128092,2026-01-05,RTX,EOL/LTB,Austin Office,"QUOTED 01/05/26 - In support of Enterprise Procurement Services RAY Collins#Largo FL.
RFQ No. 6000911457.
***QUOTED 01/05/2026 $2250 GP Opp***
Quotation deadline: 01/12/2026.
Delivery Date:  06/23/202",1,36,0
1127865,2025-12-22,BAE SYSTEMS,EOL/LTB,Austin Office,In support of Endicott NY,4,1626,0
1127844,2025-12-22,BAE SYSTEMS,EOL/LTB,Austin Office,"In support of Endicott NY ***Customer PO No. PO#: 534399 PO Date***
***QUOTED 12/22/25 $11K GP Opp***",1,341,0
1127738,2025-12-18,RTX,EOL/LTB,Austin Office,"In support of Largo FL [RTXSecure] Request for Quotation 6000910858.
***12/18/25 NS/NB***
",1,153,0
1127734,2025-12-18,RTX,EOL/LTB,Austin Office,"I support of Largo FL [RTXSecure] Request for Quotation 6000910862.
***Quoted 12/18/25 $3K GP Potential***
",1,396,0
1127731,2025-12-18,RTX,EOL/LTB,Austin Office,"QUOTED - In support of Fullerton, CA Connected Aviation Solutions (CAS).   RFI # 18007900.
***QUOTED $5K GP Potential***
5R6CX – Qty. 20 – Condition: New (Preferred) or Refurbished.
CPC7G – Qty. 8 – C",2,28,0
1127646,2025-12-16,RTX,Shortage,Austin Office,In support of Indianapolis IN LADS   RFQ 18023699 DUE 12/16/202.   ***NS/NB 12/16/25***,1,2,0
1127564,2025-12-15,RTX,EOL/LTB,Austin Office,"In support of Largo FL   H488880-4-NFD   SC-A144B-100.000MHz   SC-A1449-100.000MHZ.
***NS/NB 12/15/25***",1,0,0
1127466,2025-12-11,RTX,EOL/LTB,Austin Office,"In support of Largo FL
***Quoted 12/12/25 22Pts $1K GP***
RTX PN H490199-2
OEM MTFC8GLDEA-4M IT
Qty 10
",1,13,0
1127460,2025-12-11,BAE SYSTEMS,Astute Franchised,Austin Office,"***Customer PO No PO 535378***
In support of Endicott NY   RFQ#: 154507
***QUOTED 12/23/25 $2K GP Opp 27Pts*** 
***UK Representative 12/11/25***",1,90,0
1127455,2025-12-11,BAE SYSTEMS,Hot Parts,Austin Office,"In support of Fort Wayne Controls & Avionics Solutions.
***NB Rochester (authorized) with 652 pcs and ~100 pcs in the Mkt. They need the 4K to move the needle*** 
***APAC 12/11/25***
RFQ 356A1100P59  ",1,4005,0
1127454,2025-12-11,RTX,EOL/LTB,Austin Office,"In support of Space System Operations Tucson AZ.
***APAC 12/11/25***
P/N	                                Part Description	                                        QTY Needed
XC4VLX25-11FF668I	MICROCIRC",7,1260,0
1127399,2025-12-10,RTX,EOL/LTB,Austin Office,"RTX PN H488864-5-LTB-NFD   MPN EL7554IREZ   Qty 33.
***QUOTED 12/12/25 94 Pts $1K GP*** 
***APAC 12/11/25***",1,36,0
1127397,2025-12-10,BAE SYSTEMS,EOL/LTB,Austin Office,"EPM7128AETC100-7N.   Qty 150 ***QUOTED 12/12/25 $9K GP Opp***
***12/10/25 APAC***",1,155,0
1127395,2025-12-10,RTX,EOL/LTB,Austin Office,"***APAC 12/11/25***

R20002371-0001	HMC716LP3 / HMC716LP3TR / HMC716LP3ETR-COR	AMPLIFIER, RF/MICROWAVE NARROW BAND LOW POWER AMPLIFIER	400	Solder dip leads needed

R20003766-0001	SGC2463Z / SGC2463ZSR",4,11222,0
1127390,2025-12-10,RTX,EOL/LTB,Austin Office,"uOLED-160-G2   4D Systems
***NS/NB 12/12/25***
***APAC 12/11/25***",1,100,0
1127389,2025-12-10,RTX,EOL/LTB,Austin Office,"QUOTED 12/12/25 Line 2 only $7K GP 33Pts***

***APAC 12/11/25***
ACF451832-222-TD01-NFD   Qty 1819   03/24/2026.
49FCT3805SOGI-NFD   Qty 368   04/03/2026.",2,2193,0
1127376,2025-12-10,RTX,EOL/LTB,Austin Office,RFQ PR 17615961 RFQ   ***APAC 12/11/25***,2,1647,0
1127291,2025-12-08,RTX,EOL/LTB,Austin Office,***QUOTED 3 lines 01/09/26***   List of parts needs a quote ASAP.  ***NS/NB 12/10/25***,13,10688,0
1127170,2025-12-04,BAE SYSTEMS,EOL/LTB,Austin Office,In support of Endicott NY ***$88K GP Potential***,3,2105,0
1127108,2025-12-03,BAE SYSTEMS,Hot Parts,Austin Office,"In support of Greenlawn, NY   Microsemi   8481103-1   P/N 61138H   NSN: 5961016273615",1,105,0
1127052,2025-12-02,RTX,EOL/LTB,Austin Office,"In support of Raytheon's DLA Spares Program MJC RFQ 10135 SR-188622 IDIQ 12/1/25.
***NS/NB 12/02/25***
A competitive RFQ for Raytheon part: 952519-1 Quantity 4 and quote by 12/15/25. 5962-01-151-4335.",1,7,0
1126987,2025-12-01,RTX,EOL/LTB,Austin Office,"SUPPORT COLLINS LARGO FL   RFQ 6000908181.
***QUOTED 12/01/2025 Est $9K GP***
***Previous RFQ 1115215 from June was AWARDED to ANOTHER BROKER 07/07/25***|
Same suppliers showing stock. 4 lots , parts ",1,205,0
1126737,2025-11-24,BAE SYSTEMS,EOL/LTB,Austin Office,"In support of Endicott NY.   End Customer: Boeing.
***NS/NB 11/25/25***",5,585,0
1126682,2025-11-23,RTX,EOL/LTB,Austin Office,"PN 2699429-1001
***NS/NB 11/24/25***
Qty: 1pc, 5-10pcs, 20pcs
Gavin working to confirm the MFG PN if nothing pops up for the PN above.
P/N: 5962-88615013X and 5962-88615013A.",1,20,0
1126681,2025-11-23,RTX,EOL/LTB,Austin Office,"RFQ 6000905957
***Quoted 11/25/25 slim chance the part are good***
***APAC 11/25/25***
XC9572-15PCG44I-LTB-NFD   XC9572-15PCG44I   Qty 223pcs.
 
Qty 223pcs

",1,226,0
1126680,2025-11-23,RTX,EOL/LTB,Austin Office,"***RFQ - 1-20251111-0003-ASTUTE   ***QUOTED 11/25/25 $8K GP Opp***   XC2S200-5FG456I-MAS-NFD   XC2S200-5FG456I   Qty 160.
***APAC 11/23/25 quote low pts and $2250 for GP*** ",1,165,0
1126669,2025-11-21,BAE SYSTEMS,EOL/LTB,Austin Office,"***In support of Endicott NY for Paladin program.
***Sent over to APAC 12/01/2025 , not much to be supported.  Some hard to finds , a good majority at authorized***",26,69762,0
1126643,2025-11-20,Elbit Systems Ltd.,EOL/LTB,Austin Office,"RFQ E-25-02986 ASTUTE for Material Analyst.  Low priority. Do not ever see orders from these requests.
SI7540DP-T1-GE3 
574MILFT
EPCS64SI16N
MAX6033AAUT30#G16
HOCTAX3811NSJ-02SW-PCB-1
WSC0001-6R040FTA",6,0,0
1126641,2025-11-20,BAE SYSTEMS,EOL/LTB,Austin Office,"In support of Endicott NY 7025S35FB   IDT7025S35FB   Qty 100
***NB 12/01/25 green test dots on the parts***",1,105,0
1126638,2025-11-20,RTX,EOL/LTB,Austin Office,"RFQ for 17920132 Microcircuit due COB November 21, 2025
***QUOTED 11/24/25 $198K GP Opp availability for parts is not great *** 
***APAC 11/20/25***",1,505,0
1126637,2025-11-20,RTX,EOL/LTB,Austin Office,"RFQ 18008764 Transistor due COB November 24, 2025
***NB 11/24/25 no source/parts available.***
Make from NPTB00004DR or NPTB00004DRT and alter  NPTB00004DR-COR or NPTB00004DRT-COR.
All bids must inclu",1,3000,0
