decommit_mpn,decommit_qty,match_type,alternate_packaging,partner,offer_key,offer_date,offer_mpn,offer_qty,offer_price,date_code
ADG1212YRUZ,2,PACKAGING_VARIANT,ADG1212YRUZ-REEL7,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,ADG1212YRUZ-REEL7,2400,0,24
ADM7150ACPZ-3.3-R7,3,EXACT,,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,ADM7150ACPZ-3.3-R7,3,0,23
ADM7150ACPZ-3.3-R7,3,EXACT,,"Shenzhen Yuze Semiconductor Co., Ltd",1025595,2026-02-26,ADM7150ACPZ-3.3-R7,1500,0,
ADM7154ACPZ-1.8-R7,1,EXACT,,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,ADM7154ACPZ-1.8-R7,996,0,25
ADM7154ACPZ-1.8-R7,1,EXACT,,Sing Sun Electronics Ltd,1024804,2025-11-04,ADM7154ACPZ-1.8-R7,0,0,
ADP5052ACPZ-R7,1,EXACT,,Sourceability North America,1024559,2025-09-29,ADP5052ACPZ-R7,5711,0,
ADR445BRZ-REEL7,6,EXACT,,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,ADR445BRZ-REEL7,1374,0,25
ADR445BRZ-REEL7,6,EXACT,,Semihouse,1025398,2026-01-23,ADR445BRZ-REEL7,0,4.84,25+
ADT7470ARQZ-REEL7,1,EXACT,,Southchip Limited,1025677,2026-03-08,ADT7470ARQZ-REEL7,20,0,2026+
ADT7470ARQZ-REEL7,1,PACKAGING_VARIANT,ADT7470ARQZ-REEL,Hong Kong ShunChiu Industry Development Limited,1025610,2026-03-01,ADT7470ARQZ-REEL,2500,5.43,25+
LT1711CMS8#TRPBF,1,PACKAGING_VARIANT,LT1711CMS8-PBF,Applied Materials,1025493,2026-02-04,LT1711CMS8-PBF,18000,0,
LT1763CDE#TRPBF,1,EXACT,,Sing Sun Electronics Ltd,1024804,2025-11-04,LT1763CDE#TRPBF,0,0,
LT1963AEQ#TRPBF,1,EXACT,,Southchip Limited,1025677,2026-03-08,LT1963AEQ#TRPBF,3750,0,2320+
LT1963AEQ#TRPBF,1,PACKAGING_VARIANT,LT1963AEQ,Sing Sun Electronics Ltd,1024804,2025-11-04,LT1963AEQ,0,0,
LT1963AES8#PBF,2,PACKAGING_VARIANT,LT1963AES8#TRPBF,Sing Sun Electronics Ltd,1024804,2025-11-04,LT1963AES8#TRPBF,0,0,
LT3045EDD#TRPBF,1,EXACT,,Hong Kong ShunChiu Industry Development Limited,1025473,2026-02-03,LT3045EDD#TRPBF,1700,4.16,Within 3yrs
LT3045EDD#TRPBF,1,EXACT,,Sing Sun Electronics Ltd,1024804,2025-11-04,LT3045EDD#TRPBF,0,0,
LT3080EST#PBF,2,PACKAGING_VARIANT,LT3080EST#TRPBF,"VERY CHIP CO., LIMITED",1025806,2026-03-24,LT3080EST#TRPBF,425,0,1502+
LT3080EST#PBF,2,PACKAGING_VARIANT,LT3080EST#TRPBF,"Very Chip Co., Limited",1025692,2026-03-10,LT3080EST#TRPBF,475,0,1502+
LT3080EST#PBF,2,PACKAGING_VARIANT,LT3080EST,Sing Sun Electronics Ltd,1024804,2025-11-04,LT3080EST,0,0,
LT3080EST#TRPBF,2,EXACT,,"VERY CHIP CO., LIMITED",1025806,2026-03-24,LT3080EST#TRPBF,425,0,1502+
LT3080EST#TRPBF,2,EXACT,,"Very Chip Co., Limited",1025692,2026-03-10,LT3080EST#TRPBF,475,0,1502+
LT3080EST#TRPBF,2,PACKAGING_VARIANT,LT3080EST,Sing Sun Electronics Ltd,1024804,2025-11-04,LT3080EST,0,0,
LT3094EDD#PBF,6,PACKAGING_VARIANT,LT3094EDD,Sing Sun Electronics Ltd,1024804,2025-11-04,LT3094EDD,0,0,
LT8648SEV#PBF,1,EXACT,,"VERY CHIP CO., LIMITED",1025806,2026-03-24,LT8648SEV#PBF,40,0,22+
LT8648SEV#PBF,1,EXACT,,"Very Chip Co., Limited",1025692,2026-03-10,LT8648SEV#PBF,40,0,22+
LT8648SEV#PBF,1,EXACT,,Hong Kong ShunChiu Industry Development Limited,1025192,2025-12-23,LT8648SEV#PBF,406,80.25,25+
LT8648SEV#PBF,1,PACKAGING_VARIANT,LT8648SEV,Semihouse,1025749,2026-03-16,LT8648SEV,406,88,
LTC1668IG#PBF,9,EXACT,,HJC Electronic (HK) Ltd,1025809,2026-03-24,LTC1668IG#PBF,1880,68,2Y
LTC1668IG#PBF,9,EXACT,,Semihouse,1025778,2026-03-18,LTC1668IG#PBF,940,46.05,26+
LTC1668IG#PBF,9,EXACT,,Momntech Limited,1025735,2026-03-13,LTC1668IG#PBF,2115,44,
LTC1668IG#PBF,9,PACKAGING_VARIANT,LTC1668IG#TRPBF,Cytech Systems Ltd,1024959,2025-11-24,LTC1668IG#TRPBF,2000,20,within 2 years
LTC2997HDCB#TRMPBF,3,EXACT,,Sing Sun Electronics Ltd,1024661,2025-10-17,LTC2997HDCB#TRMPBF,4000,2.3,22+
LTC6993IS6-3#TRMPBF,1,EXACT,,"VERY CHIP CO., LIMITED",1025806,2026-03-24,LTC6993IS6-3#TRMPBF,125,0,2024+
LTC6993IS6-3#TRMPBF,1,EXACT,,"Very Chip Co., Limited",1025692,2026-03-10,LTC6993IS6-3#TRMPBF,125,0,2024+
LTM4620AEV#PBF,1,PACKAGING_VARIANT,LTM4620AEV,Sing Sun Electronics Ltd,1024804,2025-11-04,LTM4620AEV,0,0,
LTM4623EY#PBF,4,EXACT,,Hong Kong ShunChiu Industry Development Limited,1025690,2026-03-09,LTM4623EY#PBF,520,0,25+
LTM4627EY#PBF,2,EXACT,,HJC Electronic (HK) Ltd,1025549,2026-02-12,LTM4627EY#PBF,1190,0,22+
LTM4630AEV#PBF,3,PACKAGING_VARIANT,LTM4630AEV,Sing Sun Electronics Ltd,1024804,2025-11-04,LTM4630AEV,0,0,
LTM4644EY#PBF,1,EXACT,,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,LTM4644EY#PBF,1020,0,25
LTM4644EY#PBF,1,EXACT,,Semihouse,1025010,2025-12-01,LTM4644EY#PBF,510,19.8,25+
LTM4644EY#PBF,1,EXACT,,Sing Sun Electronics Ltd,1024804,2025-11-04,LTM4644EY#PBF,0,0,
LTM4644EY#PBF,1,EXACT,,"Chips-Center Technology (HK) Co., Ltd",1024721,2025-10-24,LTM4644EY#PBF,1020,24.50,25+
LTM4644EY#PBF,1,PACKAGING_VARIANT,LTM4644EY,Sing Sun Electronics Ltd,1024804,2025-11-04,LTM4644EY,0,0,
LTM4668AEY#PBF,1,EXACT,,Hong Kong ShunChiu Industry Development Limited,1025795,2026-03-20,LTM4668AEY#PBF,260,10,within 2 years
LTM4675EY#PBF,1,EXACT,,Southchip Limited,1025677,2026-03-08,LTM4675EY#PBF,2389,0,1729+
LTM4675EY#PBF,1,EXACT,,"ROVELL INTERNATIONAL TRADE CO.,LTD  ",1024993,2025-11-27,LTM4675EY#PBF�� ,1008,0,25+
LTM4675EY#PBF,1,EXACT,,Sing Sun Electronics Ltd,1024804,2025-11-04,LTM4675EY#PBF,0,0,
LTM8027EY#PBF,3,EXACT,,Sing Sun Electronics Ltd,1024804,2025-11-04,LTM8027EY#PBF,0,0,
LTM8045EY#PBF,1,EXACT,,Sing Sun Electronics Ltd,1024804,2025-11-04,LTM8045EY#PBF,0,0,
LTM8055EY#PBF,2,EXACT,,Sing Sun Electronics Ltd,1024804,2025-11-04,LTM8055EY#PBF,0,0,
LTM8064EY#PBF,6,EXACT,,Southchip Limited,1025677,2026-03-08,LTM8064EY#PBF,534,0,1732+
MAX17543ATP+,2,EXACT,,Sing Sun Electronics Ltd,1024804,2025-11-04,MAX17543ATP+,0,0,
MAX4649EKA+T,3,EXACT,,Hong Kong ShunChiu Industry Development Limited,1025192,2025-12-23,MAX4649EKA-T,5000,0.68,25+
MAX8556ETE+T,2,EXACT,,"VERY CHIP CO., LIMITED",1025806,2026-03-24,MAX8556ETE+T ,83,0,2202+
MAX8556ETE+T,2,EXACT,,"Very Chip Co., Limited",1025692,2026-03-10,MAX8556ETE+T ,83,0,2202+
MAX8556ETE+T,2,EXACT,,Southchip Limited,1025677,2026-03-08,MAX8556ETE+T,1,0,1532+
OP177GSZ-REEL7,1,EXACT,,Sing Sun Electronics Ltd,1024804,2025-11-04,OP177GSZ-REEL7,0,0,
