emailId,mpn,qty,price,dc,vendor_email,vendor_name,vendor_search_key,rfq_number,notes,mfr,currency,moq,spq,packaging,lead_time,coo,rohs
6775,BAS16215,81000,0.07,25+,michelle.dewitt@converge.com,Converge,1006704,1130292,,,USD,,,,,,
6776,0251002.MXL,118,1,,pweitz@semisourceinc.com,Semi Source Inc,1001041,1130292,,,USD,,,,,,
6777,LM2591HVS-5.0/NOPB,5,10,,sales@componentonline.com,Component Electronics Inc.,1003092,1128099,,,USD,,,,,,
6778,LM2591HVS-5.0/NOPB,5,10,,sales@componentonline.com,Component Electronics Inc,1003092,1130292,,,USD,,,,,,
6779,BCP53-16TX,26000,0.73,25+,es@sebacomp.com,SEBACOMP,1004090,1130292,,,USD,,,,,,
6780,594D127X0020R2T,410,2,04+,tim@inventorymp.com,Inventory Management Partners,1002399,1130292,,,USD,,,,,,
6782,BAS16-235,1900,0.027,21,sales@emsnetonline.com,EMS Net Online,1002514,1130292,,,USD,,,,,,
6784,IXDD609SI,100,5,,danny.heslin@blueravencorp.com,Crestwood Technology Group,1004598,1130292,,,USD,,,,,,
6788,80CPQ150PBF,50,3.13,06+,info@tautec-electronics.de,Tautec Electronics,1003181,1130292,,,USD,,,,,,
6789,80CPQ150PBF,50,3.13,06+,info@tautec-electronics.de,TAUTEC ELECTRONICS GmbH,1003181,1130292,,,USD,,,,,,
6790,FWH-125B,14,104.03,,mbeltran@galco.com,Galco,1002926,1130292,,,USD,,,,,,
6792,DG403DY-T1-E3,1069,1.45,1544,michael@scidev.com,Scientific Devices Inc,1003059,1130292,,,USD,,,,,,
6794,DG403DYZ,22,3,10+,igal@electrion.co.il,Electrion Ltd.,1004137,1130292,,,USD,,,,,,
6795,DG403DYZ,22,3,10+,igal@electrion.co.il,Electrion Ltd,1004137,1130292,,,USD,,,,,,
6796,FWH-125B,6,85,07,MThoma@pegasus-components.de,Pegasus Components GmbH,1002636,1130292,,,USD,,,,,,
6797,80CPQ150PBF,261,2,08+,pbrasme@holdelec.fr,HOLDELEC,1003216,1130292,,,USD,,,,,,
6798,LM2901AVQDRQ1,325,2.1,15+,benedek@ic-tronix.com,IC TRONIX INC,1002611,1128746,,,USD,,,,,,
6799,LM2903AVQDRG4Q1,63,9.5,14+,benedek@ic-tronix.com,IC TRONIX INC,1002611,NOT_FOUND,,,USD,,,,,,
6800,LM2901AVQDRG4Q1,3300,0.45,22,uyurttas@ozdisan.com,Ozdisan,1003646,1128746,,,USD,,,,,,
6801,LM2903AVQDR,2400,0.19,22,uyurttas@ozdisan.com,Ozdisan,1003646,1130292,,,USD,,,,,,
6802,J0011D21BNL,775,1.95,23,uyurttas@ozdisan.com,Ozdisan,1003646,1130292,,,USD,,,,,,
6803,LM7805CT/NOPB,250,0.84,24/25,uyurttas@ozdisan.com,Ozdisan,1003646,NOT_FOUND,,,USD,,,,,,
6806,P600M,18500,0.15,2601,bob@elitesemi.com,Elite Semiconductor Products,1004574,1130292,,,USD,,,,,,
6807,TG110-S050N2LFTR,1000,0.595,22+,agiovan@carlinsystems.com,Carlin Systems Inc,1002999,1130292,,,USD,,,,,,
6808,FWH-125B,7,95,,gust@electronicsurplus.com,Electronic Surplus,1003324,1130292,,,USD,,,,,,
6809,BTS723GW,379,2.35,0814,sara@rightpartsonline.com,Right Parts Inc,1002498,1128746,,,USD,,,,,,
6811,DG403DY-E3,60,1.25,,juan@dfsales.com,DF Sales Co,1002276,1130292,,,USD,,,,,,
6812,TG110-S050N2LFTR,252,0.87,2020,justin@braunec.com,Braun Electronic Components,1002892,1130292,,,USD,,,,,,
6813,LM2901AVQDRQ1,0,0,,justin@braunec.com,Braun EC,1002892,1130292,,,USD,,,,,,
6815,TG110-S050N2LF-TR,0,0,,mike@integratedelec.com,Integrated Electronics,1002612,1130292,,,USD,,,,,,
6816,J0011D21BNL,700,2.344,,JamesB@pccomponents.com,PC Components Company,1002553,1130292,,,USD,,,,,,
6817,MPZ2012S101AT000,5400,0.04,18+,stockcheck@atlanticsemi.com,Atlantic Semiconductor,1002457,1129117,,,USD,,,,,,
6819,SPP11N80C3IN,50,2,,sales@eptix.com,Eptix Electronics Inc,1004279,1128746,,,USD,,,,,,
6820,MPZ2012S101AT000,7773,0.01,2204,sal@prismelectronics.net,Prism Electronics,1002482,1129117,,,USD,,,,,,
6822,2220YA250472KXTB16,3000,2,20+,stockcheck@atlanticsemi.com,Atlantic Semiconductor,1002457,1130292,,,USD,,,,,,
6823,TG110-S050N2LFTR,460,0.5,1722,pweitz@semisourceinc.com,Semi Source Inc,1001041,1130292,,,USD,,,,,,
6825,SM24CANB-02HTG,12,5,2014,sal@prismelectronics.net,Prism Electronics,1002482,1130292,,,USD,,,,,,
6827,SM24CANB-02HTG,3000,0.15,1818,brian@microram.com,MicroRam,1002615,1130292,,,USD,,,,,,
6828,NTCS0603E3103FHT,425,0.3,,shirley@ic-tronix.com,IC-Tronix Inc,1002611,1130292,,,USD,,,,,,
6829,TG110-S050N2LFTR,1000,0.595,22+,agiovan@carlinsystems.com,Carlin Systems Inc,1002999,1130292,,,USD,,,,,,
6830,IMZ120R030M1HXKSA1,720,4.5,2149,sal@prismelectronics.net,Prism Electronics,1002482,NOT_FOUND,,,USD,,,,,,
6831,DG403DY-T1-E3,4945,2,2022,sales@gsshome.com,GSS,1005513,1130292,,,USD,,,,,,
6832,T405-600H,2775,0.31,18+,betrinid@celestica.com,Celestica Global Limited,1001118,1129833,,,USD,,,,,,
6833,RMCP2010FT22R0,10,10,,shirley@ic-tronix.com,IC-Tronix Inc,1002611,1130292,,,USD,,,,,,
6834,88E1510-A0-NNB2C000,0,0,,betrinid@celestica.com,Celestica,1001118,1129832,,,USD,,,,,,
6835,LCMXO3LF-2100C-5BG256C,476,5.8,2241+,betrinid@celestica.com,Celestica Global Limited,1001118,1129855,,,USD,,,,,,
6837,MPZ2012S101AT000,8580,0.025,18+,evon.fore@kentzy.com,Kentzy International Inc,1003082,1129117,,,USD,,,,,,
6839,BCM5221A4KPTG,120,4,23+,michelle.dewitt@converge.com,Converge,1006704,1130350,,,USD,,,,,,
6840,ISO7740DWR,5,12,2020+,sal@prismelectronics.net,Prism Electronics,1002482,1130292,,,USD,,,,,,
6843,BCM5221A4KPTG,200,4.93,22+,DistiSalesR2@flipelectronics.com,Flip Electronics,1001208,1130350,,,USD,,,,,,
6845,BCM5221A4KPTG,200,6,21,ttasker@cci-inc.com,CCI Inc,1002426,1130350,,,USD,,,,,,
6846,STM32F103C8T6,500,1.25,22+,joemar@sensiblemicro.com,Sensible Micro Corporation,1002564,NOT_FOUND,,,USD,,,,,,
6847,SP12-SN,85,17,18+,GRaso@sptllc.com,Shore Point Technology,1004383,1130292,,,USD,,,,,,
6848,0251002.MRT1L,100,0.6,2011+,sal@prismelectronics.net,Prism Electronics,1002482,1130292,,,USD,,,,,,
6849,ISO7740DWR,5,12,2020+,sal@prismelectronics.net,Prism Electronics,1002482,1130292,,,USD,,,,,,
6850,MSP430F149IPMR,100,3,13+,sales@aes-online.com,AES Online,1003406,1129768,,,USD,,,,,,
6851,SPP11N80C3,300,0.7,1205,sales@zilex.ca,Zilex Electronics Inc.,1006047,1128746,,,USD,,,,,,
6852,ECS-200-20-5PXDU-TR,0,0,,dannyb@nusourcetech.com,NuSource Tech,1003800,1130292,,,USD,,,,,,
6855,LM7805CT,0,0,,dannyb@nusourcetech.com,NuSource Tech,1003800,NOT_FOUND,,,USD,,,,,,
6857,BCP53-16TX,11000,0.12,25+,Anna@rotakorn.se,Rotakorn Electronics AB,1002557,1130292,,,USD,,,,,,
6858,MAX3086ESD+,23,6.52,0711,sal@prismelectronics.net,Prism Electronics,1002482,NOT_FOUND,,,USD,,,,,,
6859,P600M,5500,0.17,,sales@inelcocomponents.com,Inelco Components,1002948,1130292,,,USD,,,,,,
6861,P600M,5500,0.17,,sales@inelcocomponents.com,Inelco Components,1002948,1130292,,,USD,,,,,,
6862,80CPQ150PBF,38,5.25,07+,stockcheck@atlanticsemi.com,Atlantic Semi,1002457,1130292,,,USD,,,,,,
6864,MMA8451QR1,5000,1.15,15,p.fallon@com-sit.com,ComS.I.T. Inc.,1002491,1130462,,,USD,,,,,,
6865,ADS1115IDGSR,80,1.35,2020+,sal@prismelectronics.net,Prism Electronics,1002482,1130462,,,USD,,,,,,
6866,ADS1115IDGSR,1131,1,2328,Sales@HuskyINTL.com,Husky International Electronics,1002469,1130462,,,USD,,,,,,
6874,LM2591HVSX-5.0/NOPB,152,1.2,0706,tracey@agelectronicsltd.com,AG Electronics Ltd,1004875,1130292,,,USD,,,,,,
6876,B72510E300K62,1600,0.15,15+,sales@flychips.com,Fly Chips,1005735,1130292,,,USD,,,,,,
6877,MPZ2012S101AT000,7821,0.03,13+,sales@flychips.com,Fly Chips,1005735,1129117,,,USD,,,,,,
6878,MPZ2012S101AT000,7821,0.03,13+,sales@flychips.com,Fly Chips Electronics,1005735,1130292,,,USD,,,,,,
6879,B72510E300K62,1600,0.15,15+,sales@flychips.com,Fly Chips Electronics,1005735,1130292,,,USD,,,,,,
6882,HCF4093M013TR,21400,0.3,,sales@inelcocomponents.com,Inelco Components,1002948,1130292,,,USD,,,,,,
6883,MPZ2012S101AT000,0,0,,stockcheck@atlanticsemi.com,Atlantic Semiconductor,1002457,1130292,,,USD,,,,,,
6888,B82793S513N201,1500,0.99,11,p.fallon@com-sit.com,ComS.I.T. Inc.,1002491,1130292,,,USD,,,,,,
6888,IMZ120R030M1HXKSA1,19,33.55,2002,p.fallon@com-sit.com,ComS.I.T. Inc.,1002491,NOT_FOUND,,,USD,,,,,,
6888,LM2903AVQDR,1670,0.49,14,p.fallon@com-sit.com,ComS.I.T. Inc.,1002491,1130292,,,USD,,,,,,
6888,BTS723GW,12326,2.8,09,p.fallon@com-sit.com,ComS.I.T. Inc.,1002491,1130292,,,USD,,,,,,
6888,RS1JHE3AI,1670,0.25,1825,p.fallon@com-sit.com,ComS.I.T. Inc.,1002491,NOT_FOUND,,,USD,,,,,,
6888,RS1JHE3AI,2280,0.25,1820,p.fallon@com-sit.com,ComS.I.T. Inc.,1002491,NOT_FOUND,,,USD,,,,,,
6888,B72510E300K62,6000,0.2,16,p.fallon@com-sit.com,ComS.I.T. Inc.,1002491,1130292,,,USD,,,,,,
6888,LM2591HVS-5.0/NOPB,94,9.2,11,p.fallon@com-sit.com,ComS.I.T. Inc.,1002491,1130292,,,USD,,,,,,
6888,LM2591HVS-5.0/NOPB,46,2.2,12,p.fallon@com-sit.com,ComS.I.T. Inc.,1002491,1130292,,,USD,,,,,,
6888,SPP11N80C3,250,2.6,1323,p.fallon@com-sit.com,ComS.I.T. Inc.,1002491,1130292,,,USD,,,,,,
6888,B82793S513N201,2975,0.85,11,p.fallon@com-sit.com,ComS.I.T. Inc.,1002491,1130292,,,USD,,,,,,
6891,SBAS16LT1G,53000,0.1,22+,anna@rotakorn.se,Rotakorn Electronics,1002557,1130292,,,USD,,,,,,
6896,SBAS16LT1G,53000,0.1,22+,Anna@rotakorn.se,Rotakorn Electronics AB,1002557,1130292,,,USD,,,,,,
6897,BAS16,235,10000,0.02,0505,jw@4source.de,4Source Electronics AG,1003723,,,USD,,,,,,
6897,BAS16,235,10000,0.02,0505,jw@4source.de,4Source Electronics AG,1003723,1130292,PDF quote,,USD,,,,,,
6903,MPZ2012S101AT000,7821,0.03,13+,sales@flychips.com,FlyChips,1005735,1129117,,,USD,,,,,,
6904,B340-13-F,3000,0.06,17,info@tronicpool.de,TronicPool GmbH,1006423,1128746,,,USD,,,,,,
6905,STM32F103C8T6,4936,2,12+,sales@reboundeu.com,Rebound EU,1002855,NOT_FOUND,,,USD,,,,,,
6906,HCF4093M013TR,17500,0.5,,daniels@zdi.com,ZD Integrated Circuits,1004406,1130292,,,USD,,,,,,
6910,MPZ2012S101AT000,8000,0.00897,1640,sales@tencell.com,Tencell,1009528,1129117,,,USD,,,,,,
6911,MMA8451QR1,5000,0.7,2022+,es@sebacomp.com,Seba Components,1004090,1130462,,,USD,,,,,,
6913,TG110-S050N2LFTR,23,6,12+,linus.jonsson@j2sourcing.com,J2 Sourcing,1002946,1130292,,,USD,,,,,,
6918,DS3231SN#,2713,5,21+,sales@reboundeu.com,Rebound EU,1002855,1130350,,,USD,,,,,,
6920,J0011D21BNL,2213,3.5,05+,sales@reboundeu.com,Rebound EU,1002855,1130292,,,USD,,,,,,
6924,NUP2105LT1G,2541,0.11,2022,mmichnik@micros.com.pl,Micros,1005154,1130292,,,USD,,,,,,
6925,TPS73801DCQR,250,1.6,12+,es@sebacomp.com,Seba Components,1004090,1130292,,,USD,,,,,,
6926,NUP2105LT1G,2541,0.11,2022,mmichnik@micros.com.pl,Micros,1005154,1130292,,,USD,,,,,,
6927,0251002.MRT1L,981,0.31,,sales@cyclops-electronics.com,Cyclops Electronics,1002495,1130292,,,USD,,,,,,
6927,J0011D21BNL,531,2,07+,sales@cyclops-electronics.com,Cyclops Electronics,1002495,1130292,,,USD,,,,,,
6927,FZT751TA,13827,0.09,,sales@cyclops-electronics.com,Cyclops Electronics,1002495,1130292,,,USD,,,,,,
6927,BAT54S-7-F,3000,0.034,1707,sales@cyclops-electronics.com,Cyclops Electronics,1002495,1128746,,,USD,,,,,,
6927,DG403DYZ,72,1.389,,sales@cyclops-electronics.com,Cyclops Electronics,1002495,1130292,,,USD,,,,,,
6927,P600M/4,504,0.2,0412,sales@cyclops-electronics.com,Cyclops Electronics,1002495,1130292,,,USD,,,,,,
6927,MAX3086ESD+,100,1.533,15+,sales@cyclops-electronics.com,Cyclops Electronics,1002495,NOT_FOUND,,,USD,,,,,,
6928,B72510E300K62,1600,0.15,15+,sales@flychips.com,FlyChips,1005735,1130292,,,USD,,,,,,
6934,80CPQ150PBF,500,3.5,09,sales@zilex.ca,Zilex Electronics,1006047,1130292,,,USD,,,,,,
6935,TG110-S050N2LF-TR,0,0,,mike@integratedelec.com,Integrated Electronics,1002612,1130292,,,USD,,,,,,
6937,2220YA250472KXTB16,284,0.7,,sales@npimaterials.com,NPI Materials,1004201,1130292,,,USD,,,,,,
6940,NUP2105LT1-G,7948,0.03,17+,avi@flex-com.com,Flex-Com International,1002863,1130292,,,USD,,,,,,
6941,BCP53-16TF,24000,0.3,18+,dave.pinho@flipelectronics.com,Flip Electronics,1001208,1130292,,,USD,,,,,,
6942,NUP2105LT1-G,7948,0.03,21+,avi@flex-com.com,Flex-Com International,1002863,1130292,,,USD,,,,,,
6943,0251002.MXL,994,0.2,0947,sales@milcraft.com,Milcraft,1006714,1130292,,,USD,,,,,,
6944,RMCP2010FT22R0,10,10.00,,benedek@ic-tronix.com,IC TRONIX INC,1002611,1130292,,,USD,,,,,,
6945,B82793-S513-N201,310,0.5,9826,yvesd@clubelec.com,Club Electronics,1003743,1130292,,,USD,,,,,,
6946,B82793S513N201,1455,0.3,02/11,stockcheck@atlanticsemi.com,Atlantic Semiconductor,1002457,1130292,,,USD,,,,,,
6947,FSM4JSMATR,14400,0.045,13+,avi@flex-com.com,Flex-Com International,1002863,1130292,,,USD,,,,,,
6950,BCP53-16TF,44000,0.30,18+,dave.pinho@flipelectronics.com,Flip Electronics,1001208,1130577,,,USD,,,,,,
6952,SBAS16LT1G,0,0,,justin@braunec.com,Braun EC,1002892,1130292,,,USD,,,,,,
6953,BCP53-16TX,700,0.383,2022,mmichnik@micros.com.pl,Micros sp.j.,1005154,1130577,,,USD,,,,,,
6954,DG403DYE3,6,8.00,07+,sales@chanetech.com,CHANETECH,1004926,1130292,,,USD,,,,,,
6955,LM7805CT,250,1.10,07+,sales@chanetech.com,CHANETECH,1004926,NOT_FOUND,,,USD,,,,,,
6959,HCF4093M013TR,17500,0.5,,daniels@zdi.com,ZD Integrated Circuits,1004406,1130292,,,USD,,,,,,
6960,LM2585S-5.0/NOPB,135,4.35,08,linus.jonsson@j2sourcing.com,J2 Sourcing,1002946,1130577,,,USD,,,,,,
6961,LM2903AVQDRG4Q1,2400,0.10,1119,ernst.ruth@micro-components.eu,Micro Components H. GmbH,1003294,NOT_FOUND,,,USD,,,,,,
6963,IXDD609SI,160,0.89,,sales@voyagercomponents.com,Voyager Components,1002571,1130577,,,USD,,,,,,
6964,P600M,23500,0.059,25+,netcomponents@prodeldistribuzione.it,Prod.El. Distribuzione srl,1005062,1130577,,,USD,,,,,,
6965,DG403DYZT,0,0,,heather@amalfi-trading.com,Amalfi Trading,1002638,1130292,,,USD,,,,,,
6966,594D127X0020R2T,410,0.98,0926,shai@speedc.co.il,Speed Components,1004411,1130292,,,USD,,,,,,
6968,594D127X0020R2T,410,0.98,0926,shai@speedc.co.il,Speed Components Ltd.,1004411,1130292,,,USD,,,,,,
6969,B72510E300K62,3000,0.06,2022,mmichnik@micros.com.pl,Micros sp.j.,1005154,1130577,,,USD,,,,,,
6970,0251002.MXL,670,0.45,,gs@aerco.co.uk,AERCO,1002410,1130292,,,USD,,,,,,
6971,BCP53-16TX,700,0.383,2022,mmichnik@micros.com.pl,Micros sp.j.,1005154,1130577,,,USD,,,,,,
6972,TG110S050N2RLTR,2000,0.55,0618,jyimez@electronic-direct.de,Electronic Direct GmbH,1002669,1130292,,,USD,,,,,,
6973,S1J-HE3/61T,84000,0.07,0651,sales@zilex.ca,Zilex electronics Inc.,1006047,NOT_FOUND,,,USD,,,,,,
6974,TG110-S050N2LF-TR,750,0.75,18+,mike@integratedelec.com,Integrated Electronics Company,1002612,1130292,,,USD,,,,,,
6976,0251002.MRT1L,40,1.75,,morgan.snell@chemigraphic.co.uk,Chemigraphic Ltd.,1005977,1130292,,,USD,,,,,,
6977,B72510E300K62,3000,0.0567,2022,mmichnik@micros.com.pl,Micros sp.j.,1005154,1130577,,,USD,,,,,,
6979,SBAS16LT3G,32600,0.009,0809,sales@inelcocomponents.com,INELCO Components,1002948,1130292,,,USD,,,,,,
6980,SBAS16LT3G,0,0,,justin@braunec.com,Braun EC,1002892,1130292,,,USD,,,,,,
6981,LM2901AVQDRG4,2200,0.36,1627,gcorti@mistersprockets.com,MISTERSPROCKETS,1003448,1128746,,,USD,,,,,,
6982,0251002.MRT1L,0,0,,boaz.fridman@electronic-stock.com,Electronic Stock,1005541,1130292,,,USD,,,,,,
6983,LM2585SX-5.0/NOPB,37,2.5,13,tommy@dan-mar.com,Dan-Mar Components,1005459,1130292,,,USD,,,,,,
6985,TPS73801DCQR,300,1.35,18+,sales@flychips.com,Fly Chips Electronics,1005735,1130577,,,USD,,,,,,
6986,DG403DY-T1-E3,24,5.00,18+,distysales@northshorecomponents.com,North Shore Components,1002550,1130292,,,USD,,,,,,
6987,HCF4093M013TR,14935,0.15,12+,linus.jonsson@j2sourcing.com,J2 Sourcing,1002946,1130577,,,USD,,,,,,
6988,B340-13-F,69000,0.11,22+,chris.l@nacsemi.com,NAC Semi,1004921,1130577,,,USD,,,,,,
6989,80CPQ150PBF,261,5,10,quote@qcomponents.com,Q Components,1003110,1130292,,,USD,,,,,,
6990,J0011D21BNL,20,4,,amy.g@hybridelectronics.com,Hybrid Electronics,1002787,1130292,,,USD,,,,,,
6991,FWH-125B,30,119.99,,accordtec@gmail.com,Accord Technologies,1006191,1130292,,,USD,,,,,,
6992,L50QS125,3,209.99,,accordtec@gmail.com,Accord Technologies,1006191,1130292,,,USD,,,,,,
6993,FZT751TA,888,0.099,99,victoria.abt@derf.com,DERF ELECTRONICS CORP,1002452,1130292,,,USD,,,,,,
6993,FZT751TA,632,0.099,02,victoria.abt@derf.com,DERF ELECTRONICS CORP,1002452,1130292,,,USD,,,,,,
6994,J0011D21BNL,20,4.00,,amy.g@hybridelectronics.com,Hybrid Electronics Corporation,1002787,1130292,,,USD,,,,,,
6997,S1JHE3_A/H,9800,0.03,15+,cory@tcxmicro.com,TCX MICRO S.L.,1002568,1130292,,,USD,,,,,,
6999,4-1437565-2,168000,0.094,2020/21,jsilvester@ibh-elektrotechnik.de,IBH Elektrotechnik GmbH,1006201,1130292,,,USD,,,,,,
7003,SM24CANB-02HTG,10,6.00,2014,sal@prismelectronics.net,Prism Electronics,1002482,1130577,,,USD,,,,,,
7004,PCL037-4,55,1.5,2009,sal@prismelectronics.net,Prism Electronics,1002482,1130292,,,USD,,,,,,
7005,MSP430F149IPMR,100,1.37,0936,stock@libra-elektronik.com,LIBRA Elektronik GmbH,1002912,1129675,,,USD,,,,,,
7008,P600M/4,1400,0.621,03+,JamesB@pccomponents.com,PC Components Company,1002553,1130292,,,USD,,,,,,
7009,TG110-S050N2RLTR,725,0.695,,JamesB@pccomponents.com,PC Components Company,1002553,1130292,,,USD,,,,,,
7010,SN74HC573AQDWRQ1,30,4.17,1144/1306,paul@svtsupplychain.com,SVT Supply Chain,1003063,1130292,,,USD,,,,,,
7011,4-1437565-2,5677,0.03,12+,stockcheck@atlanticsemi.com,Atlantic Semiconductor,1002457,1130292,,,USD,,,,,,
7012,VS80CPQ150N3,120,4,16+,sales@chanetech.com,Chanetech,1004926,1130292,,,USD,,,,,,
7013,NTCS0603E3103FHT,425,0.30,,benedek@ic-tronix.com,IC TRONIX INC,1002611,1130577,,,USD,,,,,,
7015,BCP53-16TX,48900,0.49,,PaulRoberts@SolidTechnologySolutions.com,Solid Technology Solutions Inc.,1008005,1130577,,,USD,,,,,,
7015,BCP53-16TF,72000,0.49,1803,PaulRoberts@SolidTechnologySolutions.com,Solid Technology Solutions Inc.,1008005,1130577,,,USD,,,,,,
7017,MAX3086ESD+,15,10.00,1036,victoria.abt@derf.com,DERF ELECTRONICS CORP,1002452,NOT_FOUND,,,USD,,,,,,
7018,PCL037-4,25,1.25,2008+,sal@prismelectronics.net,Prism Electronics,1002482,1130292,,,USD,,,,,,
7019,DG403DY-T1-E3,1069,1.45,1544,michael@scidev.com,Scientific Devices Inc.,1003059,1130292,,,USD,,,,,,
7020,DG403DY-E3,2018,1.45,22+,ttasker@cci-inc.com,CCI,1002426,1130292,,,USD,,,,,,
7021,LM2901AVQDRG4,2200,0.36,1627,gcorti@mistersprockets.com,MISTERSPROCKETS,1003448,1128746,,,USD,,,,,,
7022,LM2585S-5.0/NOPB,20,5.00,,sales@componentonline.com,Component Electronics Inc.,1003092,1130577,,,USD,,,,,,
7023,4-1437565-2,1906,0.05,1216,Sales@HuskyINTL.com,Husky International Electronics,1002469,1130577,,,USD,,,,,,
7024,FZT751TA,3700,0.12,,sales@inelcocomponents.com,INELCO,1002948,1130292,,,USD,,,,,,
7025,HCF4093M013TR,4100,0.14,9906,al.shammah@area51esg.com,Area51 Electronics,1002459,1130577,,,USD,,,,,,
7026,FSM4JSMATR,550,0.1,06+,sales@emsnetonline.com,EMS Net Online,1002514,1130292,,,USD,,,,,,
7027,80CPQ150PBF,90,4.00,,sales@inelcocomponents.com,INELCO,1002948,1130577,,,USD,,,,,,
7028,0251002.MXL,118,1.00,,pweitz@semisourceinc.com,Semi Source Inc.,1001041,1130292,,,USD,,,,,,
7029,HCF4093M013TR,0,0,,chad.r@sonicaresolutions.com,Sonicare Solutions,1003359,1130292,,,USD,,,,,,
7030,B340-13-F,15400,0.02,0818+,Paul@svtsupplychain.com,SVT,1002595,1130577,,,USD,,,,,,
7031,HCF4093M013TR,21400,0.30,,sales@inelcocomponents.com,INELCO,1002948,1130577,,,USD,,,,,,
7032,594D127X0020R2T,316,0.80,0530,Paul@svtsupplychain.com,SVT,1002595,1130292,,,USD,,,,,,
7034,TPS73801DCQR,70,1.00,12+,sales@inelcocomponents.com,INELCO,1002948,1130577,,,USD,,,,,,
7035,LM2903AVQDRG4Q1,60,3.34,1223,stockcheck@atlanticsemi.com,Atlantic Semi,1002457,NOT_FOUND,,,USD,,,,,,
7036,LM2591HVS-5.0/NOPB,690,14.90,,PaulRoberts@SolidTechnologySolutions.com,Solid Technology Solutions Inc.,1008005,1130577,,,USD,,,,,,
7037,80CPQ150PBF,16,7.82,0821/23,Paul@svtsupplychain.com,SVT,1002595,1130577,,,USD,,,,,,
7039,LM2591HVS-5.0/NOPB,5,10,,sales@componentonline.com,Component Electronics Inc,1003092,1130292,,,USD,,,,,,
7040,FSM4JSMATR,7500,0.1,1348,sal@prismelectronics.net,Prism Electronics,1002482,1130292,,,USD,,,,,,
