mpn,supplier_cost,floor_price,customer_target,suggested_price,supplier_qty,rfq_qty,suggested_gp_line,ct_gp_line,pricing_rationale,confidence_tier,alt_vq_sources
TM4C1294KCPDTI3R,4.00,4.71,5.18,5.05,2000,3000,2100.00,2360.00,"Sole source, 66.7% fill. $2,100 GP/line at $5.05",High,0
AD7683BRMZRL7,4.45,5.24,5.37,5.30,2000,4000,1700.00,1840.00,"Sole source, tight spread. Per-line GP solid at $1,700",High,0
EP3C5F256C8N,10.60,12.47,12.95,12.80,1080,720,1584.00,1692.00,"Sole source, 150% fill. Uses RFQ qty (720): $1,584 GP",High,0
OPA2197IDGKR,0.482,0.57,0.62,0.60,10000,60000,1180.00,1380.00,"2 alts, tight spread. $1,180 GP/line at $0.60",High,2
OPA2365AIDR,0.24,0.28,0.89,0.68,2500,10000,1100.00,1625.00,"3 alts. Floor GP only $106 but $1,100 at my price - volume makes it work",High,3
ADUM4160BRWZRL,2.75,3.24,4.27,3.85,1000,12000,1100.00,1520.00,"2 alts, 8.3% fill. $1,100 GP/line at $3.85",High,2
HCPL2232500E,1.60,1.88,2.02,1.98,1000,6000,380.00,420.00,"7 alts, tight spread. $380 GP/line at $1.98",High,7
HCPL0631500E,0.54,0.64,0.77,0.72,1500,22500,270.00,345.00,"3 alts, 6.7% fill. $270 GP/line at $0.72",High,3
SN65HVD1781DR,0.296,0.35,0.89,0.72,605,12500,256.52,359.37,"MARGINAL: only $257 GP/line at $0.72 on 605 pcs. Barely clears $250.",Medium,4
DSPIC30F6012A30IPT,5.76,6.78,7.46,7.35,160,1200,254.40,272.00,"ADJUSTED from $7.25 to $7.35 - must clear $250 min GP on 160 pcs",Medium,0
XC6SLX92CSG225I,5.40,6.35,7.30,7.25,135,9797,249.75,256.50,"ADJUSTED from $6.95 to $7.25 - must clear $250 min GP on 135 pcs. Tight.",High,1
"74LVC1G74DP,125",0.10,0.118,0.12,0.12,12000,123000,240.00,240.00,"At target - no room. Per-line GP=$240 on 12K pcs, just under $250 threshold",High,5
TXS0104EDR,0.19,0.22,0.23,0.23,255,40000,10.20,10.20,"LOW PRIORITY: only $10 GP/line on 255 pcs. May not justify effort.",Medium,1
XC7A35T1CSG324I,24.69,29.05,25.61,,551,1890,2400.74,506.92,"NOT QUOTABLE - 13.4% over target. $2,401 floor GP if quotable.",Medium,1
EP4CE30F23C8N,14.85,17.47,15.31,,600,2880,1572.35,276.00,"FLAG: Target shifted from $35.38 to $15.31 - possible duplicate RFQ line. Was quotable yesterday. Investigate.",Medium,41
XC7A15T1FGG484I,13.30,15.65,14.62,,600,7164,1408.24,792.00,"NOT QUOTABLE - 7% over target",Medium,0
ADRF5040BCPZR7,7.96,9.36,9.24,,1000,4500,1404.71,1280.00,"NOT QUOTABLE - nearly quotable, negotiate supplier down $0.15",High,0
TPS54620RGYR,0.42,0.49,0.46,,27000,18000,1334.12,720.00,"NOT QUOTABLE - 3 alts, check w2y source",High,3
LTM4630EY1APBF,32,37.65,35.70,,180,1440,1016.47,666.00,"NOT QUOTABLE - 3 alts, negotiate or check alternates",High,3
AD8310ARMZREEL7,3.6444,4.29,3.90,,1000,7000,643.13,255.60,"NOT QUOTABLE - floor 10% over target",High,0
ADUM5000ARWZRL,2.60,3.06,2.99,,1000,3000,458.82,390.00,"NOT QUOTABLE - close, minor supplier concession could flip",High,1
HFBR1414TZ,6.80,8.00,6.97,,120,15348,144.00,20.40,"NOT QUOTABLE - 14.8% over target. Only 120 pcs anyway.",High,5
10AX090H4F34E3SG,660,776.47,1054.68,,0,172,0.00,0.00,"VERIFY QTY: 0 supplier qty, MOQ=10 exists - availability unconfirmed",Medium,2
EPCQ64ASI16N,3.20,3.76,8.64,6.50,0,13200,0.00,0.00,"VERIFY QTY: 15 alts, MOQ=1600. Huge spread if qty confirmed.",Medium,15
MT25QL256ABA8E121SIT,0,0.01,1.56,,0,21120,0.00,0.00,"VERIFY QTY: $0 cost/0 qty - availability check VQ only",High,4
MT25QL256ABA8ESF0SIT,0,0.03,1.04,,0,9000,0.00,0.00,"VERIFY QTY: $0 cost/0 qty - availability check VQ only",High,8
MT41K256M16TW107AITP,0,0.01,1.04,,0,36000,0.00,0.00,"VERIFY QTY: $0 cost/0 qty - availability check VQ only",High,6
MT41K256M16TW107XITP,0,0.01,1.04,,0,36000,0.00,0.00,"VERIFY QTY: $0 cost/0 qty - availability check VQ only",High,11
MT47H32M16NF25EAATH,0,0.005,1.50,,0,54000,0.00,0.00,"VERIFY QTY: $0 cost/0 qty - availability check VQ only",High,1
MT47H32M16NF25EAATHTR,0,0.005,1.50,,0,54000,0.00,0.00,"VERIFY QTY: $0 cost/0 qty - availability check VQ only",High,1
