RFQ,Customer Part Number,% Under Target,Type,Supplier/Excess Partner,MO Type,Date Code,Supplier MPN,Created Date,% of Demand,Opp Amount,Supplier Qty,Supplier Price,Minimum Suggested Resale,Quotable,Floor GP,Floor Margin,RFQ Target,RFQ Qty,CT GP,CT Margin,RFQ MPN,RFQ Created,RFQ Customer,Days Btw VQ & RFQ,RFQ Manufacturer,Confidence Tier,Alt VQ Sources
1113236,HCPL2232500E,0.0681,VQ,"Shenzhen Troson Technology Co., Ltd",,25+,HCPL-2232-500E,2026-02-06 08:18:10,0.1667,12120.00,1000,1.6,1.882353,YES,282.35,0.1500,2.02,6000,420.00,0.2079,HCPL2232500E,2025-05-08 02:42:32,Plexus Corp.,8,,High,7
1113236,HFBR1414TZ,-0.1478,VQ,PGC-IC Ltd,,25+,HFBR-1414TZ,2026-02-10 03:36:50,0.0078,106975.56,120,6.8,8.000000,NO,144.00,0.1500,6.97,15348,20.40,0.0244,HFBR1414TZ,2025-05-08 02:42:32,Plexus Corp.,4,,High,5
1113236,LM2676SXADJNOPB,,Stock,Stock - Hong Kong Warehouse,,,LM2676SX-ADJ/NOPB,2025-07-21 10:24:32,0.0152,21450.00,250,0,,CHECK WITH JAKE,,,1.3,16500,,,LM2676SXADJNOPB,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,LM2676SXADJNOPB,,Stock,Stock - Hong Kong Warehouse,,,LM2676SX-ADJ/NOPB,2025-07-21 10:24:32,0.0152,21450.00,250,0,,CHECK WITH JAKE,,,1.3,16500,,,LM2676SXADJNOPB,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,LM2676SXADJNOPB,0.5204,VQ,Qiaocheng Technology Limited,,23+,LM2676SX-ADJ/NOPB,2026-02-06 08:45:47,0.6061,21450.00,10000,0.53,0.623529,YES,935.29,0.1500,1.3,16500,7700.00,0.5923,LM2676SXADJNOPB,2025-05-08 02:42:32,Plexus Corp.,8,,High,3
1113236,LTM4630EY1APBF,-0.0545,VQ,"Xin Jun Hong (HK) Industry Co., Ltd",,23+,LTM4630EY-1A#PBF,2026-02-09 02:26:58,0.1250,51408.00,180,32,37.647059,NO,1016.47,0.1500,35.7,1440,666.00,0.1036,LTM4630EY1APBF,2025-05-08 02:42:32,Plexus Corp.,5,,High,3
1113236,MC68HC16Z1CEH25,,Stock,Stock - Hong Kong Warehouse,,,MC68HC16Z1CEH25,2025-07-21 10:24:32,0.0048,49896.00,12,0,,CHECK WITH JAKE,,,19.8,2520,,,MC68HC16Z1CEH25,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,MC74HC14ADR2G,,Stock,Stock - Austin Warehouse,,1616,MC74HC14ADR2G,2025-07-21 10:23:10,0.0003,8600.00,65,0,,CHECK WITH JAKE,,,0.04,215000,,,MC74HC14ADR2G,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,MPXV5004GC6T1,,Stock,Stock - Austin Warehouse,,,MPXV5004GC6T1,2025-07-21 10:19:25,0.2567,9600.00,308,0,,CHECK WITH JAKE,,,8,1200,,,MPXV5004GC6T1,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,MPXV5010GC7U,,Stock,Stock - Hong Kong Warehouse,,,MPXV5010GC7U,2025-07-21 10:24:32,0.0079,135898.80,133,0,,CHECK WITH JAKE,,,8.07,16840,,,MPXV5010GC7U,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,MSP430F149IPMR,0.6900,VQ,"Original Chip Source Electronics Co., Limited",,,MSP430F149IPMR,2026-01-21 05:15:20,0.5000,13360.00,2000,0.88,1.035294,YES,310.59,0.1500,3.34,4000,4920.00,0.7365,MSP430F149IPMR,2025-05-08 02:42:32,Plexus Corp.,24,,Medium,7
1113236,MT25QL256ABA8E121SIT,0.9924,VQ,"Poplar Technology Co., Ltd",,,MT25QL256ABA8E12-1SIT,2026-02-06 05:17:43,0.0000,32947.20,0,0,0.011837,VERIFY QTY,0.00,1.0000,1.56,21120,0.00,1.0000,MT25QL256ABA8E121SIT,2025-05-08 02:42:32,Plexus Corp.,8,,High,4
1113236,MT25QL256ABA8ESF0SIT,0.9733,VQ,"Poplar Technology Co., Ltd",,,MT25QL256ABA8ESF-0SIT,2026-02-06 05:17:34,0.0000,9360.00,0,0,0.027778,VERIFY QTY,0.00,1.0000,1.04,9000,0.00,1.0000,MT25QL256ABA8ESF0SIT,2025-05-08 02:42:32,Plexus Corp.,8,,High,8
1113236,MT41K256M16TW107AITP,0.9933,VQ,"Poplar Technology Co., Ltd",,,MT41K256M16TW-107 AIT:P,2026-02-06 05:17:25,0.0000,37440.00,0,0,0.006944,VERIFY QTY,0.00,1.0000,1.04,36000,0.00,1.0000,MT41K256M16TW107AITP,2025-05-08 02:42:32,Plexus Corp.,8,,High,6
1113236,MT41K256M16TW107XITP,0.9933,VQ,"Poplar Technology Co., Ltd",,,MT41K256M16TW-107 XIT:P,2026-02-06 05:17:28,0.0000,37440.00,0,0,0.006944,VERIFY QTY,0.00,1.0000,1.04,36000,0.00,1.0000,MT41K256M16TW107XITP,2025-05-08 02:42:32,Plexus Corp.,8,,High,11
1113236,MT47H128M16RT25EC,,Stock,Stock - Austin Warehouse,,,MT47H128M16RT-25E:C,2025-07-21 10:30:01,0.8000,8200.00,2000,0,,CHECK WITH JAKE,,,3.28,2500,,,MT47H128M16RT25EC,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,MT47H32M16NF25EAATH,0.9969,VQ,Blink Electronics (HK) Ltd,,,MT47H32M16NF-25E AAT:H,2026-02-06 05:16:24,0.0000,81000.00,0,0,0.004630,VERIFY QTY,0.00,1.0000,1.5,54000,0.00,1.0000,MT47H32M16NF25EAATH,2025-05-08 02:42:32,Plexus Corp.,8,,High,1
1113236,MT47H32M16NF25EAATHTR,0.9969,VQ,Blink Electronics (HK) Ltd,,,MT47H32M16NF-25EAAT:H TR,2026-02-06 05:16:27,0.0000,81000.00,0,0,0.004630,VERIFY QTY,0.00,1.0000,1.5,54000,0.00,1.0000,MT47H32M16NF25EAATHTR,2025-05-08 02:42:32,Plexus Corp.,8,,High,1
1113236,OPA2131UA,,Stock,Stock - Austin Warehouse,,,OPA2131UA,2025-07-21 10:22:17,0.0019,52000.00,75,0,,CHECK WITH JAKE,,,1.3,40000,,,OPA2131UA,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,OPA2131UA,,Stock,Stock - Austin Warehouse,,,OPA2131UA,2025-07-21 10:22:17,0.0033,52000.00,130,0,,CHECK WITH JAKE,,,1.3,40000,,,OPA2131UA,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,OPA2131UA,,Stock,Stock - Austin Warehouse,,,OPA2131UA,2025-07-21 10:22:17,0.0046,52000.00,184,0,,CHECK WITH JAKE,,,1.3,40000,,,OPA2131UA,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,OPA2197IDGKR,0.0854,VQ,Fixchips Global Limited,,23+,OPA2197IDGKR,2026-02-10 08:13:10,0.1667,37200.00,10000,0.482,0.567059,YES,850.59,0.1500,0.62,60000,1380.00,0.2226,OPA2197IDGKR,2025-05-08 02:42:32,Plexus Corp.,4,,High,2
1113236,OPA2277UA2K5,0.7141,VQ,Dynamic Domain PTE Ltd,,23+,OPA2277UA/2K5,2026-02-06 08:26:17,0.1500,36000.00,7500,0.175,0.205882,YES,231.62,0.1500,0.72,50000,4087.50,0.7569,OPA2277UA2K5,2025-05-08 02:42:32,Plexus Corp.,8,,High,9
1113236,OPA2336EA2K5,0.2388,VQ,Qadira Technology Ltd,,23+,OPA2336EA/2K5,2026-02-03 03:09:45,0.0899,189125.00,20000,0.55,0.647059,YES,1941.18,0.1500,0.85,222500,6000.00,0.3529,OPA2336EA2K5,2025-05-08 02:42:32,Plexus Corp.,11,,High,0
1113236,OPA2365AIDR,0.6827,VQ,Fixchips Global Limited,,23+,OPA2365AIDR,2026-02-06 08:53:39,0.2500,8900.00,2500,0.24,0.282353,YES,105.88,0.1500,0.89,10000,1625.00,0.7303,OPA2365AIDR,2025-05-08 02:42:32,Plexus Corp.,8,,High,3
1113236,"PCA9555PW,118",0.0788,VQ,Midway Technologies & Projects,,25+,"PCA9555PW,118",2026-02-04 05:46:06,0.4000,33125.00,25000,0.415,0.488235,YES,1830.88,0.1500,0.53,62500,2875.00,0.2170,"PCA9555PW,118",2025-05-08 02:42:32,Plexus Corp.,10,,High,1
1113236,S25FL064LABNFI043,,Stock,Stock - Philippines Warehouse,,,S25FL064LABNFI043,2025-10-21 13:35:08,0.2453,44640.00,17664,0,,CHECK WITH JAKE,,,0.62,72000,,,S25FL064LABNFI043,2025-05-08 02:42:32,Plexus Corp.,116,,Stock,0
1113236,S25FL064LABNFI043,,Stock,Stock - Philippines Warehouse,,,S25FL064LABNFI043,2025-10-21 13:35:08,0.2453,44640.00,17664,0,,CHECK WITH JAKE,,,0.62,72000,,,S25FL064LABNFI043,2025-05-08 02:42:32,Plexus Corp.,116,,Stock,0
1113236,SN65HVD1781DR,0.6087,VQ,PGC-IC Ltd,,25+,SN65HVD1781DR,2026-01-20 06:46:26,0.0484,11125.00,605,0.296,0.348235,YES,31.60,0.1500,0.89,12500,359.37,0.6674,SN65HVD1781DR,2025-05-08 02:42:32,Plexus Corp.,25,,Medium,4
1113236,SN65HVD230DR,0.6172,VQ,"Excellence Time Electronics Co., Ltd",,25+,SN65HVD230DR,2026-02-06 08:34:07,0.2000,31500.00,10000,0.205,0.241176,YES,361.76,0.1500,0.63,50000,4250.00,0.6746,SN65HVD230DR,2025-05-08 02:42:32,Plexus Corp.,8,,High,13
1113236,TM4C1294KCPDTI3R,0.0915,VQ,"Original Chip Source Electronics Co., Limited",,25+,TM4C1294KCPDTI3R,2026-02-10 02:30:22,0.6667,15540.00,2000,4,4.705882,YES,1411.76,0.1500,5.18,3000,2360.00,0.2278,TM4C1294KCPDTI3R,2025-05-08 02:42:32,Plexus Corp.,4,,High,0
1113236,TPS5450MDDAREP,,Stock,Stock - Austin Warehouse,,1040,TPS5450MDDAREP,2025-07-21 10:22:17,0.0108,8775.00,27,0,,CHECK WITH JAKE,,,3.51,2500,,,TPS5450MDDAREP,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,TPS54620RGYR,-0.0742,VQ,"Rensung Electronic HongKong Co., Limited",,25+,TPS54620RGYR,2026-02-04 05:48:32,1.5000,8280.00,27000,0.42,0.494118,NO,1334.12,0.1500,0.46,18000,720.00,0.0870,TPS54620RGYR,2025-05-08 02:42:32,Plexus Corp.,10,,High,3
1113236,TPS74401RGWR,,Stock,Stock - Austin Warehouse,,13+,TPS74401RGWR,2025-07-21 10:19:25,0.0276,56160.00,2155,0,,CHECK WITH JAKE,,,0.72,78000,,,TPS74401RGWR,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,TPS74401RGWR,,Stock,Stock - Austin Warehouse,,13+,TPS74401RGWR,2025-07-21 10:19:25,0.0276,56160.00,2155,0,,CHECK WITH JAKE,,,0.72,78000,,,TPS74401RGWR,2025-05-08 02:42:32,Plexus Corp.,208,,Stock,0
1113236,TPS7A8400ARGRR,0.2437,VQ,Qiaocheng Technology Limited,,,TPS7A8400ARGRR,2026-02-04 05:48:49,2.0000,10080.00,36000,0.36,0.423529,YES,1143.53,0.1500,0.56,18000,3600.00,0.3571,TPS7A8400ARGRR,2025-05-08 02:42:32,Plexus Corp.,10,,High,5
1113236,TXS0104EDR,0.0281,VQ,Skyeast International Group Ltd,,25+,TXS0104EDR,2026-01-28 04:59:26,0.0064,9200.00,255,0.19,0.223529,YES,8.55,0.1500,0.23,40000,10.20,0.1739,TXS0104EDR,2025-05-08 02:42:32,Plexus Corp.,17,,Medium,1
1113236,UCD90120ARGCR,0.3239,VQ,Qadira Technology Ltd,,25+,UCD90120ARGCR,2026-02-04 05:49:13,0.6667,20880.00,4000,2,2.352941,YES,1411.76,0.1500,3.48,6000,5920.00,0.4253,UCD90120ARGCR,2025-05-08 02:42:32,Plexus Corp.,10,,High,8
1113236,WL1837MODGIMOCR,0.3561,VQ,"Original Chip Source Electronics Co., Limited",,25+,WL1837MODGIMOCR,2026-01-25 21:12:36,0.4286,107436.00,3600,7,8.235294,YES,4447.06,0.1500,12.79,8400,20844.00,0.4527,WL1837MODGIMOCR,2025-05-08 02:42:32,Plexus Corp.,20,,Medium,0
1113236,XC6SLX1002CSG484I,0.5111,VQ,"HANG LUNG TENDA TECHNOLOGY CO., LIMITED",,24+,XC6SLX100-2CSG484I,2026-02-09 05:11:53,0.2877,20405.00,61,40,47.058824,YES,430.59,0.1500,96.25,212,3431.25,0.5844,XC6SLX1002CSG484I,2025-05-08 02:42:32,Plexus Corp.,5,,High,1
1113236,XC6SLX452FGG484I,,Stock,Stock - Austin Warehouse,,,XC6SLX45-2FGG484I,2022-07-12 04:21:10,0.0004,153238.55,2,0,,CHECK WITH JAKE,,,32.99,4645,,,XC6SLX452FGG484I,2025-05-08 02:42:32,Plexus Corp.,1313,,Stock,0
1113236,XC6SLX452FGG484I,,Stock,Stock - Austin Warehouse,,,XC6SLX45-2FGG484I,2022-07-12 04:21:10,0.0004,187239.95,2,0,,CHECK WITH JAKE,,,40.31,4645,,,XC6SLX452FGG484I,2025-05-08 02:42:32,Plexus Corp.,1313,,Stock,0
1113236,XC6SLX92CSG225I,0.1297,VQ,"HANG LUNG TENDA TECHNOLOGY CO., LIMITED",,25+,XC6SLX9-2CSG225I,2026-02-10 01:24:52,0.0138,71518.10,135,5.4,6.352941,YES,128.65,0.1500,7.3,9797,256.50,0.2603,XC6SLX92CSG225I,2025-05-08 02:42:32,Plexus Corp.,4,,High,1
1113236,XC7A15T1FGG484I,-0.0703,VQ,"Presemis Technology Co., Ltd",,22+,XC7A15T-1FGG484I,2026-01-21 02:35:19,0.0838,104737.68,600,13.3,15.647059,NO,1408.24,0.1500,14.62,7164,792.00,0.0903,XC7A15T1FGG484I,2025-05-08 02:42:32,Plexus Corp.,24,,Medium,0
1113236,XC7A35T1CSG324I,-0.1342,VQ,Fixchips Global Limited,,22+,XC7A35T-1CSG324I,2026-01-28 19:26:28,0.2915,48402.90,551,24.69,29.047059,NO,2400.74,0.1500,25.61,1890,506.92,0.0359,XC7A35T1CSG324I,2025-05-08 02:42:32,Plexus Corp.,17,,Medium,1
1113236,XC7K160T2FFG676C,0.4807,VQ,HK Firsttop Technology Ltd,,24+,XC7K160T-2FFG676C,2026-01-28 02:57:16,0.1252,257022.32,400,35.5,41.764706,YES,2505.88,0.1500,80.42,3196,17968.00,0.5586,XC7K160T2FFG676C,2025-05-08 02:42:32,Plexus Corp.,17,,Medium,3
