MPN,Original MPN,Manufacturer,Customer Program,Demand Qty,Life Cycle Status,MPN Risk,BOM Line Risk,Current Projected Stock,Current Stock Levels,Current Min Lead Days,Current Max Lead Days,Current Report Date,In Astute Stock,Astute Stock Qty,All Customer Programs
"JANTX2N4856","JANTX2N4856","Solitron","DE Customer Quotes - USD",120,"OBS","HIGH","HIGH",0,"",182,210,"7/8/2025","YES",360,"DE Customer Quotes - USD"
"JANTX2N4856","JANTX2N4856","Solitron","DE Customer Quotes - USD",80,"OBS","HIGH","HIGH",0,"",182,210,"7/8/2025","YES",360,"DE Customer Quotes - USD"
"JANTX2N4856","JANTX2N4856","VPT Components","DE Customer Quotes - USD",25,"OBS","HIGH","HIGH",0,"",182,210,"7/8/2025","YES",360,"DE Customer Quotes - USD"
"LQP15MN1N5B02D","LQP15MN1N5B02D","Murata Electronics","Rapid Assembly - EAS24987 & EAS24989",300,"OBS","HIGH","HIGH",0,"",119,119,"6/24/2025","YES",50000,"Rapid Assembly - EAS24987 & EAS24989"
"SC18IS602BIPW/S8HP","SC18IS602BIPW/S8HP","NXP","020525 GBP QCS2604 IMV Imaging",100,"OBS","HIGH","HIGH",0,"",22,364,"9/16/2025","YES",2497,"020525 GBP QCS2604 IMV Imaging"
"SC18IS602BIPW/S8HP","SC18IS602BIPW/S8HP","NXP","020525 GBP QCS2604 IMV Imaging",100,"OBS","HIGH","HIGH",0,"",22,364,"9/16/2025","YES",2497,"020525 GBP QCS2604 IMV Imaging"
"SKY13286-359LF","SKY13286_359LF","SKYWORKS SOLUTIONS","Complete Obsolescence Management (MBDACOMM2024)",1000,"OBS","HIGH","HIGH",0,"",92,140,"9/3/2025","YES",3000,"Complete Obsolescence Management (MBDACOMM2024)"
"THS3202DGNR","THS3202DGNR","Texas Instruments","Pico - MPN list",1000,"NRND","HIGH","HIGH",0,"",42,42,"6/16/2025","YES",850,"Pico - MPN list | Pico Technology - Adapt 07.05.2025 | Pico Texchnology - Adapt 07.05.2025"
"THS3202DGNR","THS3202DGNR","Texas Instruments","Pico - MPN list",1000,"NRND","HIGH","HIGH",1,"Tier 1",42,84,"6/9/2025","YES",850,"Pico - MPN list | Pico Technology - Adapt 07.05.2025 | Pico Texchnology - Adapt 07.05.2025"
"THS3202DGNR","THS3202DGNR","Texas Instruments","Pico Technology - Adapt 07.05.2025",1,"NRND","HIGH","HIGH",0,"",42,42,"6/16/2025","YES",850,"Pico - MPN list | Pico Technology - Adapt 07.05.2025 | Pico Texchnology - Adapt 07.05.2025"
"THS3202DGNR","THS3202DGNR","Texas Instruments","Pico Texchnology - Adapt 07.05.2025",1,"NRND","HIGH","HIGH",1,"Tier 1",42,84,"6/9/2025","YES",850,"Pico - MPN list | Pico Technology - Adapt 07.05.2025 | Pico Texchnology - Adapt 07.05.2025"
"TLE6250GV33","TLE6250GV33","Infineon Technologies","Electronics - Semiconductors and Passives",168393,"OBS","HIGH","HIGH",0,"",98,98,"9/24/2025","YES",17988,"Electronics - Semiconductors and Passives"
"TLF35584QVVS1","TLF35584QVVS1","Infineon Technologies","Electronics - Semiconductors and Passives",1818,"OBS","HIGH","HIGH",0,"",,,"6/18/2025","YES",10000,"Electronics - Semiconductors and Passives"
"UWF1V470MCL1GS","UWF1V470MCL1GS","Nichicon","MKS Capacitor RFQ",23261,"OBS","HIGH","HIGH",0,"",133,997,"12/15/2025","YES",3444,"MKS Capacitor RFQ"
"XC18V01SO20C","XC18V01SO20C","AMD","OT RFQ 19.05.2025 - 23.05.2025",1005,"OBS","HIGH","HIGH",0,"",364,364,"11/6/2025","YES",117,"OT RFQ 19.05.2025 - 23.05.2025"
"XC3S400-4PQG208C","XC3S400-4PQG208C","AMD / Xilinx","Pico - MPN list",1000,"OBS","HIGH","HIGH",0,"",364,364,"11/3/2025","YES",759,"Pico - MPN list | Pico Technology - Adapt 07.05.2025"
"XC3S400-4PQG208C","XC3S400-4PQG208C","AMD / Xilinx","Pico Technology - Adapt 07.05.2025",1,"OBS","HIGH","HIGH",0,"",364,364,"11/3/2025","YES",759,"Pico - MPN list | Pico Technology - Adapt 07.05.2025"
"XC3S500E-4FTG256C","XC3S500E-4FTG256C","AMD / Xilinx","Scioteq Critical Part List",1000,"OBS","HIGH","HIGH",0,"",,,"12/29/2025","YES",232,"Scioteq Critical Part List"
"XCF04SVOG20C","XCF04SVOG20C","Xilinx","DE Customer Quotes - Euro",700,"OBS","HIGH","HIGH",0,"",84,84,"6/17/2025","YES",180,"DE Customer Quotes - Euro | EMS Elektronik - ASELSAN SSt 24Y0098A60"
"XCF04SVOG20C","XCF04SVOG20C","Xilinx","EMS Elektronik - ASELSAN SSt 24Y0098A60",75,"OBS","HIGH","HIGH",0,"",84,84,"6/13/2025","YES",180,"DE Customer Quotes - Euro | EMS Elektronik - ASELSAN SSt 24Y0098A60"
"","","NEXPERIA","OT RFQ 21.04.2025 - 25.04.2025",2900,"OBS","HIGH","HIGH",0,"",190,190,"11/25/2025","NO",,
"","","NEXPERIA","Pico - MPN list",1000,"OBS","HIGH","HIGH",0,"",,,"12/22/2025","NO",,
"","","NEXPERIA","Wabtec - 2025 Requirements",400,"OBS","HIGH","HIGH",0,"",693,693,"9/30/2025","NO",,
"","","NEXPERIA","Wabtec - 2025 Requirements",582,"OBS","HIGH","HIGH",0,"",693,693,"9/30/2025","NO",,
"","","NXP","Note PPV File September 2024",5792,"OBS","HIGH","HIGH",0,"",80,364,"6/17/2025","NO",,
"","","NXP","OT RFQ 28.04.2025 - 02.05.2025",3000,"OBS","HIGH","HIGH",0,"None",56,350,"10/6/2025","NO",,
"","","NXP","THALES MERIGNAC",856,"OBS","HIGH","LOW",0,"None",365,365,"2/19/2025","NO",,
"","","NXP Semiconductors","Connor Solutions - QCS2619",250,"OBS","HIGH","LOW",0,"",190,190,"11/21/2025","NO",,
"","","NXP Semiconductors","DE OT RFQ 2024",132000,"OBS","HIGH","HIGH",0,"",364,364,"10/22/2025","NO",,
"","","NXP Semiconductors","Electronics - Semiconductors and Passives",78857,"OBS","HIGH","HIGH",0,"",364,364,"10/22/2025","NO",,
"","","NXP Semiconductors","Electronics - Semiconductors and Passives",78857,"OBS","HIGH","HIGH",0,"",364,364,"7/23/2025","NO",,
"","","NXP Semiconductors","Kone - Lead time requirement",548000,"OBS","HIGH","HIGH",0,"None",,,"5/26/2025","NO",,
"","","NXP Semiconductors","OT RFQ 12.05.2025 - 16.05.2025",25000,"OBS","HIGH","HIGH",0,"",22,99,"7/1/2025","NO",,
"","","NXP Semiconductors","OT RFQ 19.05.2025 - 23.05.2025",25000,"OBS","HIGH","HIGH",0,"",22,99,"7/2/2025","NO",,
"","","NXP Semiconductors","OT RFQ 27.01.2025 - 17.03.2025",1000,"OBS","HIGH","HIGH",0,"",22,99,"6/30/2025","NO",,
"","","NXP Semiconductors","OT RFQ 28.04.2025 - 02.05.2025",20000,"OBS","HIGH","HIGH",0,"",273,273,"11/25/2025","NO",,
"","","NXP Semiconductors","Visteon - Adapt for Electonica",4050,"OBS","HIGH","HIGH",0,"",,,"11/24/2025","NO",,
"","","NXP Semiconductors","Wabtec - 2025  Requirements",736,"OBS","HIGH","HIGH",0,"None",350,364,"4/22/2025","NO",,
"","","NXP Semiconductors","Wabtec - 2025 Requirements",112,"OBS","HIGH","HIGH",0,"",693,693,"9/30/2025","NO",,
"","","NXP Semiconductors","Wabtec - 2025 Requirements",112,"OBS","HIGH","HIGH",0,"None",50,693,"5/27/2025","NO",,
"","","NXP Semiconductors","Wabtec - 2025 Requirements",686,"OBS","HIGH","HIGH",0,"",365,365,"12/9/2025","NO",,
"","","NXP Semiconductors","Wabtec - 2025 Requirements",736,"OBS","HIGH","HIGH",0,"",350,364,"12/16/2025","NO",,
"","","NXP USA Inc.","OT RFQ 21.04.2025 - 25.04.2025",2900,"OBS","HIGH","HIGH",0,"",77,190,"9/16/2025","NO",,
"","","NXP USA Inc.","Visteon - Adapt for Electonica",1200,"LTB","HIGH","HIGH",0,"None",375,693,"3/24/2025","NO",,
"","","NXP USA Inc.","Visteon - Adapt for Electonica",1200,"OBS","HIGH","HIGH",0,"None",693,693,"5/19/2025","NO",,
"","","Nexperia","Cardiotek - 2020 06008V02R03",1,"OBS","HIGH","LOW",0,"",189,204,"11/5/2025","NO",,
"","","Nexperia","Cardiotek - BOM 07012V01R00 AD8220",2,"OBS","HIGH","LOW",0,"",189,204,"11/6/2025","NO",,
"","","Nexperia","Pico - MPN list",1000,"OBS","HIGH","HIGH",0,"",64,693,"9/1/2025","NO",,
"","","Nexperia","SchwarzerCardiotek - Anabasic 06010V02R00",2,"OBS","HIGH","LOW",0,"",189,204,"11/4/2025","NO",,
"","","Nexperia","Wabtec - 2025 Requirements",400,"OBS","HIGH","HIGH",0,"None",50,693,"5/27/2025","NO",,
"","","Nexperia","Wabtec - 2025 Requirements",582,"OBS","HIGH","HIGH",0,"None",50,693,"5/27/2025","NO",,
"","","Toshiba","DE OT RFQ 2024",31500,"OBS","HIGH","HIGH",0,"",112,378,"11/19/2025","NO",,
"","","Toshiba","Parker Hannifin - EMPD Sample BOM",1,"EOL","HIGH","LOW",0,"",168,238,"11/26/2025","NO",,
"","","Toshiba","Parker Hannifin - EMPD Sample BOM",1,"OBS","HIGH","LOW",0,"",168,238,"9/3/2025","NO",,
"","74HC1GU04GW","Nexperia USA Inc.","Sonardyne Master Active Part List",1000,"OBS","HIGH","HIGH",0,"None",84,84,"6/2/2025","NO",,
"","BBY31","NXP USA Inc.","HWM Component Tender File",2996,"OBS","HIGH","HIGH",0,"",,,"7/15/2025","NO",,
"","CLRC66301HN","NXP Semiconductors","Elite - Bid 2949",1,"OBS","HIGH","LOW",0,"",182,182,"10/17/2025","NO",,
"","LPC2368FBD100.551","NXP","Note PPV File September 2024",446,"OBS","HIGH","LOW",0,"",91,91,"8/19/2025","NO",,
"","LPC2368FBD100.551","NXP","ppv25",966,"OBS","HIGH","HIGH",0,"",91,91,"8/18/2025","NO",,
"","LPC3250FET296","NXP Semiconductors","Wabtec - 2025 Requirements",630,"OBS","HIGH","HIGH",0,"",63,63,"9/23/2025","NO",,
"","PCA82C250T","NXP USA Inc.","Wabtec - 2025 Requirements",2499,"OBS","HIGH","LOW",0,"",,,"7/1/2025","NO",,
"","PCA82C250T","NXP USA Inc.","Wabtec - 2025 Requirements",2500,"OBS","HIGH","LOW",0,"",,,"7/1/2025","NO",,
"","SC16IS762","NXP","Tarjous E000034 Ver F",1,"OBS","HIGH","HIGH",0,"",365,365,"11/19/2025","NO",,
"","SJA1000T/N1","NXP Semiconductors","Wabtec - 2025 Requirements",1000,"OBS","HIGH","HIGH",0,"",,,"7/15/2025","NO",,
"","TJA1040T","NXP","Visteon - Adapt for Electonica",23786,"NRND","HIGH","HIGH",0,"",,,"12/1/2025","NO",,
"","UJA1162TK","NXP Semiconductors","DE OT RFQ 2024",132000,"OBS","HIGH","HIGH",0,"",364,364,"10/22/2025","NO",,
"0402CS-47NXGLU","0402CS-47NXGL","Coilcraft","HR Smith - BOM Health and ADAPT",1000,"OBS","HIGH","HIGH",0,"",,,"1/1/2026","NO",,"HR Smith - BOM Health and ADAPT"
"0603LS-102XJLC","0603LS-102XJLC","Coilcraft","Cobham Satcom - stock requirement",28,"OBS","HIGH","HIGH",0,"None",,,"6/9/2025","NO",,"Cobham Satcom - stock requirement | Cobham Satcom Shortage "
"0603LS-102XJLC","0603LS-102XJLC","Coilcraft","Cobham Satcom Shortage ",500,"OBS","HIGH","HIGH",0,"None",,,"6/9/2025","NO",,"Cobham Satcom - stock requirement | Cobham Satcom Shortage "
"0603N101J500LT","0603-N-101-J-500-LT","Walsin","BEA - Component Annual Usage",265988,"OBS","HIGH","LOW",0,"",,,"9/5/2025","NO",,"BEA - Component Annual Usage"
"0603SAJ0201T5E","0603SAJ0201T5E","Royalohm","RFQ 26.02.2025",5000,"OBS","HIGH","LOW",0,"",28,28,"11/12/2025","NO",,"RFQ 26.02.2025"
"08055A102JAT2M","08055A102JAT","Kyocera AVX","MKS Capacitor RFQ",43,"OBS","HIGH","HIGH",0,"",,,"9/22/2025","NO",,"MKS Capacitor RFQ"
"0805S8J0273T5E","0805S8J0273T5E","Royalohm","RFQ 26.02.2025",15000,"OBS","HIGH","LOW",0,"",28,28,"11/12/2025","NO",,"RFQ 26.02.2025"
"1-1102109-2","111021092","TE Connectivity","DE OT RFQ 2024",50,"OBS","HIGH","HIGH",0,"",179,179,"11/19/2025","NO",,"DE OT RFQ 2024"
"1-1337503-0","1-133750","TE Connectivity","Edinburgh Instruments - Master BOM List",2,"OBS","HIGH","HIGH",0,"",56,77,"10/6/2025","NO",,"Edinburgh Instruments - Master BOM List"
"1-1337503-0","1-133750","TE Connectivity","Edinburgh Instruments - Master BOM List",2,"OBS","HIGH","HIGH",0,"",56,77,"6/16/2025","NO",,"Edinburgh Instruments - Master BOM List"
"1-1337503-0","1-133750","TE Connectivity","Edinburgh Instruments - Master BOM List",2,"OBS","HIGH","HIGH",0,"",56,77,"7/14/2025","NO",,"Edinburgh Instruments - Master BOM List"
"1-1337503-0","1-133750","TE Connectivity","Edinburgh Instruments - Master BOM List",2,"OBS","HIGH","HIGH",0,"",56,77,"9/15/2025","NO",,"Edinburgh Instruments - Master BOM List"
"1-1337509-0","1-133750","TE Connectivity","Edinburgh Instruments - Master BOM List",2,"OBS","HIGH","HIGH",0,"",365,365,"11/10/2025","NO",,"Edinburgh Instruments - Master BOM List"
"1-1337543-0","1-1337543-0","GREENPAR - TE CONNECTIVITY","MKS Instruments - RFQ May 2025 - Priority 1",10,"OBS","HIGH","HIGH",0,"",46,105,"7/1/2025","NO",,"MKS Instruments - RFQ May 2025 - Priority 1"
"1-1634816-0","1-1634816-0","TE Connectivity","Wabtec - 2025 Requirements",8804,"OBS","HIGH","HIGH",0,"",35,63,"6/17/2025","NO",,"Wabtec - 2025 Requirements"
"1-1634816-0","1-1634816-0","TE Connectivity","Wabtec - 2025 Requirements",8804,"OBS","HIGH","HIGH",0,"None",35,63,"5/6/2025","NO",,"Wabtec - 2025 Requirements"
"1-1634817-0","1-1634817-0","TE Connectivity","MKS Instruments - RFQ May 2025 - Priority 1",10,"OBS","HIGH","HIGH",0,"",5,364,"12/2/2025","NO",,"MKS Instruments - RFQ May 2025 - Priority 1"
"1-794304-2","1-794304-2","TE Connectivity","Wabtec - 2025 Requirements",445,"OBS","HIGH","HIGH",0,"None",98,98,"10/6/2025","NO",,"Wabtec - 2025 Requirements"
"1.5KE20AG","1.5KE20AG","Littelfuse","Sonardyne Master Active Part LIst",1000,"OBS","HIGH","HIGH",0,"None",140,140,"7/4/2025","NO",,"Sonardyne Master Active Part LIst | Sonardyne Master Active Part List"
"1.5KE20AG","1.5KE20AG","Littelfuse","Sonardyne Master Active Part List",1000,"OBS","HIGH","HIGH",0,"",140,140,"8/25/2025","NO",,"Sonardyne Master Active Part LIst | Sonardyne Master Active Part List"
"100R18Y106ZV4E","100R18Y106ZV4E","Johanson Dielectrics","Technobit - June",2,"EOL","HIGH","HIGH",0,"",175,175,"9/18/2025","NO",,"Technobit - June"
"100R18Y106ZV4E","100R18Y106ZV4E","Johanson Dielectrics","Technobit - June",2,"OBS","HIGH","HIGH",0,"",175,175,"12/11/2025","NO",,"Technobit - June"
"100ZL100MEFC10X23","100ZL100MEFC10X23","Rubycon","MKS Capacitor RFQ",72,"OBS","HIGH","HIGH",0,"",126,364,"11/17/2025","NO",,"MKS Capacitor RFQ"
"102202-5","102202-5","TE Connectivity","Wabtec - 2025 Requirement",445,"OBS","HIGH","HIGH",0,"None",80,365,"1/4/2025","NO",,"Wabtec - 2025 Requirement | Wabtec - 2025 Requirements"
"102202-5","102202-5","TE Connectivity","Wabtec - 2025 Requirements",445,"OBS","HIGH","HIGH",0,"",80,80,"1/13/2026","NO",,"Wabtec - 2025 Requirement | Wabtec - 2025 Requirements"
"10MQ100N","10MQ100N","Vishay Semiconductors","Petards Rail - BOM Health",2,"OBS","HIGH","HIGH",0,"None",84,84,"4/28/2025","NO",,"Petards Rail - BOM Health"
"1210B226K160CT","1210B226K160C","Walsin Technology Corporation","Landis+Gyr Turkey",7000,"OBS","HIGH","HIGH",0,"",112,182,"9/2/2025","NO",,"Landis Heat & Water Project | Landis+Gyr Turkey | Luna Landis DC450 BOM"
"1210B226K160CT","1210B226K160C","Walsin Technology Corporation","Luna Landis DC450 BOM",56000,"OBS","HIGH","LOW",0,"",112,182,"8/29/2025","NO",,"Landis Heat & Water Project | Landis+Gyr Turkey | Luna Landis DC450 BOM"
"1210B226K160CT","1210B226K160CT","Walsin Technology Corporation","Landis Heat & Water Project",58500,"OBS","HIGH","HIGH",0,"",112,182,"9/2/2025","NO",,"Landis Heat & Water Project | Landis+Gyr Turkey | Luna Landis DC450 BOM"
"1300000221","130-000022","Molex","Axiom PPV",150,"OBS","HIGH","HIGH",0,"",287,287,"11/25/2025","NO",,"Axiom PPV"
"1300000221","130-000022","Molex","Axiom PPV",150,"OBS","HIGH","HIGH",0,"",63,287,"8/19/2025","NO",,"Axiom PPV"
"1300000221","130-000022","Molex","Axiom PPV",150,"OBS","HIGH","HIGH",0,"None",63,287,"4/30/2025","NO",,"Axiom PPV"
"13586431","135864","Aptiv","INGETEAM BOM Health Analysis",2000,"OBS","HIGH","HIGH",0,"",693,693,"10/8/2025","NO",,"INGETEAM BOM Health Analysis"
"14240R","14240R","Renesas Electronics Corporation","Wabtec - 2025 Requirements",464,"OBS","HIGH","HIGH",0,"",364,364,"6/17/2025","NO",,"Wabtec - 2025 Requirements"
"1655661","1655661","Phoenix Contact","DE OT RFQ 2024",2730,"OBS","HIGH","HIGH",0,"",82,82,"1/14/2026","NO",,"DE OT RFQ 2024"
"1734451-1","17344511","TE Connectivity","DE OT RFQ 2024",20,"OBS","HIGH","HIGH",0,"",56,365,"1/14/2026","NO",,"DE OT RFQ 2024"
"1776259-6","1776259-6","TE Connectivity","Note PPV File September 2024",7988,"OBS","HIGH","LOW",0,"",79,252,"8/26/2025","NO",,"Note PPV File September 2024 | ppv25"
"1776259-6","1776259-6","TE Connectivity","ppv25",24800,"OBS","HIGH","HIGH",0,"",79,217,"9/1/2025","NO",,"Note PPV File September 2024 | ppv25"
"177983-3","177983-3","TE Connectivity","Wabtec - 2025 Requirements",2400,"OBS","HIGH","HIGH",0,"",365,365,"11/25/2025","NO",,"Wabtec - 2025 Requirements"
"1794950000","1794950000","Weidmuller","INGETEAM BOM Health Analysis",1000,"EOL","HIGH","HIGH",0,"",70,70,"11/19/2025","NO",,"INGETEAM BOM Health Analysis"
"1825GC153MAZ1A","1825GC153MAZ1A","Kyocera AVX","MKS Capacitor RFQ",126,"OBS","HIGH","HIGH",0,"",84,94,"11/24/2025","NO",,"MKS Capacitor RFQ"
"19-213/G6C-BM1N2/3T","19-213/G6C-BM1N2","EVERLIGHT","ZED Tender - Halma Group",1000,"OBS","HIGH","HIGH",0,"None",84,126,"10/4/2025","NO",,"ZED Tender - Halma Group"
"19-21SURC/S530-A2/TR8","19-21SURC/S530-A2/TR8","Everlight","Apollo RFQ 10.02.2025",404000,"OBS","HIGH","HIGH",0,"",84,84,"11/12/2025","NO",,"Apollo RFQ 10.02.2025"
"19-21SURC/S530-A2/TR8","19-21SURC/S530-A2/TR8","Everlight","Apollo RFQ 10.02.2025",404000,"OBS","HIGH","HIGH",0,"",84,84,"11/6/2025","NO",,"Apollo RFQ 10.02.2025"
"1PS76SB21","1PS76SB21","Nexperia","Edinburgh Instruments - Master BOM List",1,"EOL","HIGH","HIGH",0,"",,,"7/7/2025","NO",,"Edinburgh Instruments - Master BOM List"
"1SMB5.0AT3G","1SMB5.0AT3G","ONSEMI","Keytronic - US",870000,"OBS","HIGH","LOW",0,"None",189,373,"3/24/2025","NO",,"Keytronic - US | Wabtec - 2025 Requirements"
"1SMB5.0AT3G","1SMB5.0AT3G","ONSEMI","Wabtec - 2025 Requirements",1375,"OBS","HIGH","LOW",0,"None",373,373,"2/18/2025","NO",,"Keytronic - US | Wabtec - 2025 Requirements"
"1SMB5.0AT3G","1SMB5.0AT3G","ONSEMI","Wabtec - 2025 Requirements",3000,"OBS","HIGH","LOW",0,"None",373,373,"2/18/2025","NO",,"Keytronic - US | Wabtec - 2025 Requirements"
"2.22237E+11","2222 370 11334","Vishay","SchwarzerCardiotek - Anabasic 06010V02R00",1,"OBS","HIGH","LOW",0,"None",,,"6/3/2025","NO",,"SchwarzerCardiotek - Anabasic 06010V02R00"
"204-10SURC/S400-A8","204-10SURC/S400-A8","Everlight","East West March PPV",20000,"OBS","HIGH","HIGH",0,"",70,126,"11/19/2025","NO",,"East West March PPV"
"206070-1","206070-1","TE Connectivity","Wabtec - 2025 Requirements",120,"OBS","HIGH","HIGH",0,"",365,365,"11/25/2025","NO",,"Wabtec - 2025 Requirements"
"206070-1","206070-1","TE Connectivity","Wabtec - 2025 Requirements",120,"OBS","HIGH","HIGH",0,"",63,365,"11/11/2025","NO",,"Wabtec - 2025 Requirements"
"206070-1","206070-1","TE Connectivity","Wabtec - 2025 Requirements",120,"OBS","HIGH","HIGH",0,"",63,365,"9/2/2025","NO",,"Wabtec - 2025 Requirements"
"206403-3","206403-3","TE Connectivity","Wabtec - 2025 Requirements",1479,"OBS","HIGH","HIGH",0,"",8,365,"7/15/2025","NO",,"Wabtec - 2025 Requirements"
"206934-1","206934-1","TE Connectivity","Wabtec - 2025 Requirements",752,"OBS","HIGH","HIGH",0,"",140,231,"10/7/2025","NO",,"Wabtec - 2025 Requirements"
"207303-3","207303-3","TE Connectivity","Wabtec - 2025 Requirements",9473,"OBS","HIGH","HIGH",0,"",140,154,"7/8/2025","NO",,"Wabtec - 2025 Requirements"
"207365-3","207365-3","TE Connectivity","Wabtec - 2025 Requirements",1278,"OBS","HIGH","LOW",0,"",91,91,"9/9/2025","NO",,"Wabtec - 2025 Requirements"
"207365-3","207365-3","TE Connectivity","Wabtec - 2025 Requirements",1278,"OBS","HIGH","LOW",0,"None",91,91,"3/18/2025","NO",,"Wabtec - 2025 Requirements"
"207544-3","207544-3","TE Connectivity","Wabtec - 2025 Requirements",170,"OBS","HIGH","HIGH",0,"None",42,42,"5/27/2025","NO",,"Wabtec - 2025 Requirements"
"207719-1","207719-1","TE Connectivity","Wabtec - 2025 Requirements",514,"OBS","HIGH","HIGH",0,"",118,118,"12/16/2025","NO",,"Wabtec - 2025 Requirements"
"207719-1","207719-1","TE Connectivity","Wabtec - 2025 Requirements",514,"OBS","HIGH","HIGH",0,"",118,118,"7/29/2025","NO",,"Wabtec - 2025 Requirements"
"207719-1","207719-1","TE Connectivity","Wabtec - 2025 Requirements",514,"OBS","HIGH","HIGH",0,"",50,118,"11/11/2025","NO",,"Wabtec - 2025 Requirements"
"207719-1","207719-1","TE Connectivity","Wabtec - 2025 Requirements",514,"OBS","HIGH","HIGH",0,"",50,118,"6/17/2025","NO",,"Wabtec - 2025 Requirements"
"207719-1","207719-1","TE Connectivity","Wabtec - 2025 Requirements",514,"OBS","HIGH","HIGH",506,"Tier 3",50,118,"10/6/2025","NO",,"Wabtec - 2025 Requirements"
"209M408-19B","209M40819B","TE Connectivity","DE Customer Quotes- USD",12,"OBS","HIGH","HIGH",0,"None",138,385,"5/20/2025","NO",,"DE Customer Quotes- USD"
"22051052","22051052","Molex","AMS Neve - V2 18.06.2025",10000,"OBS","HIGH","HIGH",0,"",,,"8/21/2025","NO",,"AMS Neve - V2 18.06.2025"
"2410SFV20.0FM/065-2","2410SFV20.0FM/065-2","TE Connectivity","Wabtec - 2025 Requirements",5992,"OBS","HIGH","HIGH",0,"None",63,133,"5/13/2025","NO",,"Wabtec - 2025 Requirements"
"250R05L101GV4T","250R05L101GV4T","Johanson Dielectrics","DE OT RFQ 2024",100000,"OBS","HIGH","HIGH",0,"",,,"11/6/2025","NO",,"DE OT RFQ 2024"
"252012CDMCDDS-R47MC","252012CDMCDDS-R47MC","Sumida","Landis+Gyr - PCO-Induced-MPV",669185,"OBS","HIGH","LOW",0,"",322,322,"1/12/2026","NO",,"Landis+Gyr - PCO-Induced-MPV"
"25ML22MEFC5X5","25ML22MEFC5X5","Rubycon","AMS Neve - V2 18.06.2025",10000,"OBS","HIGH","HIGH",0,"",95,210,"8/28/2025","NO",,"AMS Neve - V2 18.06.2025"
"25ML22MEFC5X5","25ML22MEFC5X5","Rubycon","AMS Neve - V2 18.06.2025",10000,"OBS","HIGH","HIGH",0,"",95,210,"8/28/2025","NO",,"AMS Neve - V2 18.06.2025"
"25YXF220M8X11.5","25YXF220M8X11.5","Rubycon","Edinburgh Instruments - Final Master BOM",3,"OBS","HIGH","HIGH",0,"",,,"7/24/2025","NO",,"Edinburgh Instruments - Final Master BOM | Edinburgh Instruments - Master BOM List"
"25YXF220M8X11.5","25YXF220M8X11.5","Rubycon","Edinburgh Instruments - Final Master BOM",3,"OBS","HIGH","HIGH",0,"",7,7,"11/6/2025","NO",,"Edinburgh Instruments - Final Master BOM | Edinburgh Instruments - Master BOM List"
