Lam P/N,MPN,Manufacturer,Item Description,Lead Time,QTY ON HAND,Base Unit Price,Resale Price,MIN QTY,MOQ,Lam Owned Inventory?,Historical Buyer,OT Previous Supplier,OT Buyer,Historical Purchase Price,Last Purchase Date,Recent POV,Shortfall,Priority
31-10099-00,206509-1,AMP/TYCO,"KEYING PLUG,D CONN",9 Weeks,2,0.391,0.47682926829268296,50,2000,NO,Stephanie Hill,,,,,,48,HIGH
39-130655-25,2-747708-0,ITT INC.,"CONN,DSUB,25F,PCB STRT,0.25""",48 Weeks,3,28.076205,34.23927439024391,25,50,YES,Jake Harris,,,,,,22,HIGH
39-164230-09,2-5747706-0,TE CONNECTIVITY,"CONN,D-SUB,9,F,PCB STRT,BRD LOCK,4-40 IN",3 Weeks,8,5.404455,6.5907987804878045,25,51,YES,Edgar Santana,,,,,,17,MEDIUM
668-244954-004,GRF1-J-P-08-E-RA-TH1-E,SAMTEC,"CONN,RA,JACK,RF,8POS",12 Weeks,10,34.578463,42.168857317073176,25,55,YES,Jake Harris,,,,,,15,MEDIUM
630-337825-001,AD9467BCPZ-250,ANALOG DEVICES INC.,"IC,SMD,ADC,16BIT,250MSPS,72LFCSP",13 Weeks,11,216.47232,263.99063414634145,25,100,NO,Tracy Xie,,,,,,14,MEDIUM
635-225114-001,CCHD-957X-25-49.152,CRYSTEK CORPORATION,"OSC,SMD,LO NOISE,49.152 MHZ,CMOS OUT",12 Weeks,16,36.416713,44.4106256097561,25,50,NO,Edgar Santana (DM),,,,,,9,LOW
668-342826-015,DAMZ-15S-N-A197,ITT INC.,"CONN,D-SUB,SKT,15PIN,7.5A,PCB MT,BD LOCK",20 Weeks,16,21.213405,25.870006097560978,25,50,NO,Edgar Santana,,,,,,9,LOW
618-213909-001,MOX93021004FVE,OHMITE MANUFACTURING COMPANY,"RES,METAL FILM,1M OHM",48 Weeks,18,24.9295,30.401829268292687,25,60,NO,Jake Harris,,,,,,7,LOW
670-095989-500,RUEF500,,"PTC,RUE SERIES 5.00A,ROHS",17 Weeks,18,0.458337,0.5589475609756098,25,250,NO,Stephanie Hill,,,,,,7,LOW
644-087493-002,RTE24024F,TE CONNECTIVITY,"RLY,PWR,DPDT,24VDC,ROHS",95 Weeks,18,5.066707,6.178910975609757,25,60,YES,Jake Harris,,,,,,7,LOW
630-144359-001,LMZ14202TZ-ADJ/NOPB,TEXAS INSTRUMENTS,"IC,SMD,DC-DC CONV,6V-42V,2A",9 Weeks,9,10.02459,12.225109756097561,15,250,NO,Jake Harris,,,,,,6,LOW
630-210849-001,LT1491ACS#PBF,ANALOG DEVICES INC.,"IC,SMD, QUAD MPOWER RTR I/O OP-AMP,ROHS",13 Weeks,13,9.375075,11.43301829268293,15,60,NO,Tracy Xie,,,,,,2,LOW
667-A00288-001,503398-1892,"MOLEX, LLC","CONN,SMD,MICRO SD,8PIN,PUSH-PUSH,.5A,10V",3 Weeks,24,1.885799,2.2997548780487804,25,100,YES,Stephanie Hill,,,,,,1,LOW
615-217661-003,Y14870R00500B9R,VISHAY PRECISION GROUP INC.,"RES,SMD,CUR SNS,0.005 OHM,0.1%,1W,2512",78 Weeks,14,15.58836,19.01019512195122,15,50,NO,Tracy Xie,,,,,,1,LOW
